Quarter,Time,Tm,Detail,TEN,CIN
1.0,7:50,Bengals,Rudi Johnson 5 yard rush (Shayne Graham kick),0,7
2.0,9:40,Titans,Rob Bironas 28 yard field goal,3,7
,4:20,Bengals,Chad Johnson 10 yard pass from Carson Palmer (Shayne Graham kick),3,14
,0:03,Titans,Rob Bironas 23 yard field goal,6,14
3.0,9:59,Bengals,Kenny Watson 6 yard rush (Shayne Graham kick),6,21
,6:50,Bengals,Chad Johnson 2 yard pass from Carson Palmer (Shayne Graham kick),6,28
4.0,12:58,Bengals,Chad Johnson 3 yard pass from Carson Palmer (Shayne Graham kick),6,35
