Unnamed: 0,PIT,DET
First Downs,18,21
Rush-Yds-TDs,21-82-1,25-110-0
Cmp-Att-Yd-TD-INT,23-30-277-3-1,23-37-282-1-1
Sacked-Yards,3-15,7-57
Net Pass Yards,262,225
Total Yards,344,335
Fumbles-Lost,1-0,4-0
Turnovers,1,1
Penalties-Yards,6-59,6-66
Third Down Conv.,3-8,11-18
Fourth Down Conv.,0-0,0-1
Time of Possession,27:25,32:35
