Quarter,Time,Down,ToGo,Location,PIT,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 64 yards, returned by Stefan Logan for 17 yards (tackle by Jordon Dizon)",0.000,0.480
1,14:55,1,10,PIT 23,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 5 yards (tackle by DeAndre Levy),0.480,0.610
1,14:15,2,5,PIT 28,0,0,Ben Roethlisberger pass incomplete short left intended for Heath Miller (defended by DeAndre Levy),0.610,-0.100
1,14:10,3,5,PIT 28,0,0,Ben Roethlisberger pass incomplete short right intended for Limas Sweed (defended by Anthony Henry),-0.100,-1.500
1,14:05,4,5,PIT 28,0,0,"Daniel Sepulveda punts 51 yards, returned by Dennis Northcutt for 1 yard (tackle by Keyaron Fox)",-1.500,-0.410
1,13:53,1,10,DET 22,0,0,"Daunte Culpepper sacked by James Harrison for -6 yards. Daunte Culpepper fumbles (forced by James Harrison), recovered by Daunte Culpepper at DET-18",0.410,-0.770
1,13:27,2,14,DET 18,0,0,Kevin Smith left tackle for 3 yards (tackle by Aaron Smith and Lawrence Timmons),-0.770,-0.960
1,12:48,3,11,DET 21,0,0,Daunte Culpepper right end for 32 yards (tackle by Ryan Clark),-0.960,2.460
1,12:07,1,10,PIT 47,0,0,"Daunte Culpepper for no gain. Daunte Culpepper fumbles, recovered by Daunte Culpepper at PIT-49",2.460,1.640
1,11:40,2,12,PIT 49,0,0,Kevin Smith right end for 1 yard (tackle by James Harrison),1.640,1.090
1,11:04,3,11,PIT 48,0,0,Daunte Culpepper pass complete short left to Maurice Morris for 16 yards (tackle by Ryan Clark),1.090,3.450
1,10:33,1,10,PIT 32,0,0,Kevin Smith middle for 1 yard (tackle by Lawrence Timmons),3.450,3.040
1,9:55,2,9,PIT 31,0,0,Kevin Smith right tackle for 4 yards (tackle by James Farrior and Travis Kirschke),3.040,2.870
1,9:13,3,5,PIT 27,0,0,Daunte Culpepper pass incomplete short right intended for Brandon Pettigrew,2.870,1.720
