Quarter,Time,Tm,Detail,PIT,DET
1.0,9:05,Lions,Jason Hanson 46 yard field goal,0,3
,6:44,Steelers,Rashard Mendenhall 7 yard rush (Jeff Reed kick),7,3
,2:23,Lions,Jason Hanson 46 yard field goal,7,6
2.0,10:37,Steelers,Heath Miller 15 yard pass from Ben Roethlisberger (Jeff Reed kick),14,6
,6:52,Lions,Will Peterson 38 yard interception return (Jason Hanson kick),14,13
,3:51,Steelers,Hines Ward 17 yard pass from Ben Roethlisberger (Jeff Reed kick),21,13
3.0,6:05,Steelers,Mike Wallace 47 yard pass from Ben Roethlisberger (Jeff Reed kick),28,13
4.0,4:57,Lions,Dennis Northcutt 25 yard pass from Daunte Culpepper (Jason Hanson kick),28,20
