Quarter,Time,Tm,Detail,GNB,SEA
1.0,6:03,Seahawks,Stephen Hauschka 35 yard field goal,0,3
,1:25,Packers,John Kuhn 2 yard rush (Mason Crosby kick),7,3
2.0,13:00,Seahawks,Ricardo Lockette 33 yard pass from Russell Wilson (Stephen Hauschka kick),7,10
,6:52,Packers,Mason Crosby 23 yard field goal,10,10
,3:41,Seahawks,Marshawn Lynch 9 yard rush (Stephen Hauschka kick),10,17
3.0,10:28,Seahawks,Stephen Hauschka 20 yard field goal,10,20
,4:42,Seahawks,"Safety, Aaron Rodgers fumble recovered by Derek Sherrod in the end zone.",10,22
4.0,14:55,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),10,29
,9:31,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (pass failed),16,29
,2:31,Seahawks,Derrick Coleman 15 yard pass from Russell Wilson (Stephen Hauschka kick),16,36
