Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 71 yards, returned by DuJuan Harris for 19 yards (tackle by Mike Morgan)",0.000,0.320
1,14:56,1,10,GNB 13,0,0,Eddie Lacy right tackle for 6 yards (tackle by Kevin Williams),-0.320,0.030
1,14:30,2,4,GNB 19,0,0,"Eddie Lacy left tackle for 3 yards (tackle by Cliff Avril and K.J. Wright). Penalty on Michael Bennett: Defensive Offside, 5 yards (no play)",0.030,0.540
1,14:11,1,10,GNB 24,0,0,Eddie Lacy up the middle for 15 yards (tackle by Bobby Wagner),0.540,1.530
1,13:32,1,10,GNB 39,0,0,James Starks right guard for 2 yards (tackle by Kam Chancellor and K.J. Wright),1.530,1.260
1,13:06,2,8,GNB 41,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for -2 yards (tackle by K.J. Wright),1.260,0.300
1,12:30,3,10,GNB 39,0,0,Aaron Rodgers sacked by Michael Bennett for 0 yards,0.300,-0.780
1,11:57,4,10,GNB 39,0,0,"Tim Masthay punts 29 yards, returned by Earl Thomas for 3 yards (tackle by Sean Richardson)",-0.780,-1.270
1,11:53,1,10,SEA 35,0,0,Russell Wilson pass complete short left to Percy Harvin for 4 yards (tackle by A.J. Hawk and Micah Hyde),1.270,1.260
1,11:20,2,6,SEA 39,0,0,Marshawn Lynch left tackle for 5 yards (tackle by Julius Peppers),1.260,1.220
1,10:44,3,1,SEA 44,0,0,Russell Wilson pass complete short right to Percy Harvin for 4 yards (tackle by Micah Hyde and A.J. Hawk),1.220,2.130
1,10:10,1,10,SEA 48,0,0,Russell Wilson pass complete short right to Jermaine Kearse for 8 yards (tackle by A.J. Hawk and Tramon Williams),2.130,2.660
1,9:30,2,2,GNB 44,0,0,Robert Turbin left tackle for no gain (tackle by Clay Matthews),2.660,1.950
1,8:51,3,2,GNB 44,0,0,Russell Wilson pass incomplete short left intended for Zach Miller (defended by Sam Shields),1.950,0.330
1,8:44,4,2,GNB 44,0,0,"Jon Ryan punts 32 yards, fair catch by Randall Cobb. Penalty on Mike Daniels: Running Into the Kicker, 5 yards (no play)",0.330,2.980
1,8:37,1,10,GNB 39,0,0,Percy Harvin right end for 13 yards (tackle by Tramon Williams),2.980,3.840
1,7:58,1,10,GNB 26,0,0,Russell Wilson sacked by Ha Ha Clinton-Dix for 0 yards,3.840,3.300
1,7:27,2,10,GNB 26,0,0,Marshawn Lynch left tackle for 5 yards (tackle by Datone Jones and Mike Neal),3.300,3.270
1,6:46,3,5,GNB 21,0,0,Russell Wilson pass complete short right to Doug Baldwin for 4 yards (tackle by Tramon Williams),3.270,3.270
1,6:07,3,5,GNB 21,0,0,Timeout #1 by Green Bay Packers,3.270,2.460
