Quarter,Time,Tm,Detail,SEA,HOU
1,11:11,Seahawks,Stephen Hauschka 48 yard field goal,3,0
2,14:55,Texans,Garrett Graham 31 yard pass from Matt Schaub (Randy Bullock kick),3,7
,6:11,Texans,Arian Foster 5 yard pass from Matt Schaub (Randy Bullock kick),3,14
,3:51,Texans,Randy Bullock 22 yard field goal,3,17
,0:01,Texans,Randy Bullock 42 yard field goal,3,20
3,3:54,Seahawks,Stephen Hauschka 39 yard field goal,6,20
4,7:43,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),13,20
,2:40,Seahawks,Richard Sherman 58 yard interception return (Stephen Hauschka kick),20,20
OT,3:19,Seahawks,Stephen Hauschka 45 yard field goal,23,20
