Unnamed: 0,ARI,SFO
First Downs,11,25
Rush-Yds-TDs,11-80-0,49-164-0
Cmp-Att-Yd-TD-INT,14-35-163-1-3,20-38-267-2-1
Sacked-Yards,2-14,0-0
Net Pass Yards,149,267
Total Yards,229,431
Fumbles-Lost,3-2,0-0
Turnovers,5,1
Penalties-Yards,6-75,7-87
Third Down Conv.,1-9,8-21
Fourth Down Conv.,0-2,2-2
Time of Possession,15:44,44:16
