Unnamed: 0,JAX,NOR
First Downs,18,25
Rush-Yds-TDs,26-113-2,31-112-1
Cmp-Att-Yd-TD-INT,21-30-217-1-0,33-55-301-1-1
Sacked-Yards,0-0,1-6
Net Pass Yards,217,295
Total Yards,330,407
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,5-42,3-34
Third Down Conv.,2-11,3-18
Fourth Down Conv.,1-2,4-6
Time of Possession,23:50,36:10
