Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Travis Etienne left tackle for no gain (tackle by Demario Davis),0.610,0.060
1,14:26,2,10,JAX 25,0,0,Trevor Lawrence pass complete short left to Evan Engram for 21 yards (tackle by Marshon Lattimore and Marcus Maye),0.060,1.990
1,13:45,1,10,JAX 46,0,0,Trevor Lawrence pass complete short right to Travis Etienne for 15 yards (tackle by Demario Davis),1.990,2.980
1,13:07,1,10,NOR 39,0,0,Travis Etienne right tackle for 4 yards (tackle by Malcolm Roach),2.980,2.980
1,12:29,2,6,NOR 35,0,0,Trevor Lawrence scrambles up the middle for 9 yards (tackle by Alontae Taylor),2.980,3.840
1,11:51,1,10,NOR 26,0,0,Trevor Lawrence pass incomplete short left intended for Evan Engram,3.840,3.300
1,11:47,2,10,NOR 26,0,0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Carl Granderson),3.300,3.010
1,11:07,3,7,NOR 23,0,0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Ugo Amadi and Marcus Maye),3.010,4.510
1,10:30,1,10,NOR 16,0,0,Trevor Lawrence pass complete short middle to Jamal Agnew for 14 yards (tackle by Paulson Adebo),4.510,6.740
1,9:48,1,2,NOR 2,6,0,"Travis Etienne left guard for 2 yards, touchdown",6.740,7.000
1,9:44,,,NOR 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
1,9:44,,,JAX 35,7,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,9:44,1,10,NOR 25,7,0,Derek Carr pass incomplete short middle intended for Alvin Kamara,0.610,0.060
1,9:40,2,10,NOR 25,7,0,Alvin Kamara left guard for 6 yards (tackle by Rayshawn Jenkins and Roy Robertson-Harris),0.060,0.170
1,9:08,3,4,NOR 31,7,0,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Tre Herndon),0.170,1.330
1,8:33,1,10,NOR 36,7,0,Taysom Hill left end for 6 yards (tackle by Rayshawn Jenkins),1.330,1.600
1,8:02,2,4,NOR 42,7,0,Derek Carr scrambles right end for 10 yards (tackle by Angelo Blackson),1.600,2.390
1,7:20,1,10,JAX 48,7,0,Alvin Kamara right end for -1 yards (tackle by Angelo Blackson),2.390,1.710
1,6:47,2,11,JAX 49,7,0,Derek Carr pass complete short left to Chris Olave for 14 yards (tackle by Montaric Brown),1.710,3.250
1,6:12,1,10,JAX 35,7,0,Alvin Kamara right tackle for 3 yards (tackle by Roy Robertson-Harris),3.250,3.110
1,5:34,2,7,JAX 32,7,0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Foyesade Oluokun),3.110,2.410
