Quarter,Time,Tm,Detail,WAS,BUF
1.0,8:19,Bills,Cole Beasley 6 yard pass from Josh Allen (Stephen Hauschka kick),0,7
,0:23,Bills,Stephen Hauschka 42 yard field goal,0,10
2.0,10:42,Redskins,Dustin Hopkins 29 yard field goal,3,10
,4:45,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),3,17
,0:32,Redskins,Dustin Hopkins 33 yard field goal,6,17
3.0,1:21,Redskins,Dustin Hopkins 39 yard field goal,9,17
4.0,2:21,Bills,Devin Singletary 2 yard rush (Stephen Hauschka kick),9,24
