Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,"Adrian Peterson up the middle for 10 yards (tackle by Taron Johnson and Levi Wallace). Penalty on Tony Bergstrom: Illegal Formation, 5 yards (no play)",0.610,0.280
1,14:27,1,15,WAS 20,0,0,Dwayne Haskins pass complete short left to Paul Richardson for 7 yards (tackle by Matt Milano),0.280,0.330
1,13:49,2,8,WAS 27,0,0,Adrian Peterson right guard for 3 yards (tackle by Tremaine Edmunds and Trent Murphy),0.330,0.040
1,13:08,3,5,WAS 30,0,0,Dwayne Haskins up the middle for 3 yards (tackle by Micah Hyde and Jerry Hughes),0.040,-1.180
1,12:25,4,2,WAS 33,0,0,Tress Way punts 21 yards downed by Jeremy Reaves,-1.180,-1.990
1,12:15,1,10,BUF 46,0,0,Devin Singletary left guard for 4 yards (tackle by Cole Holcomb),1.990,1.990
1,11:45,2,6,BUF 50,0,0,Devin Singletary left tackle for 3 yards (tackle by Cole Holcomb),1.990,1.690
1,11:06,3,3,WAS 47,0,0,Josh Allen pass complete short left to Isaiah McKenzie for 11 yards (tackle by Fabian Moreau),1.690,3.180
1,10:26,1,10,WAS 36,0,0,Josh Allen pass complete short middle to Isaiah McKenzie for 9 yards (tackle by Josh Norman),3.180,3.850
1,9:55,2,1,WAS 27,0,0,Frank Gore up the middle for 2 yards (tackle by Da'Ron Payne),3.850,3.910
1,9:24,1,10,WAS 25,0,0,Devin Singletary left tackle for 17 yards (tackle by Troy Apke),3.910,5.370
1,8:45,1,8,WAS 8,0,0,Devin Singletary left end for 2 yards (tackle by Quinton Dunbar),5.370,4.950
1,8:25,2,6,WAS 6,0,6,"Josh Allen pass complete short left to Cole Beasley for 6 yards, touchdown",4.950,7.000
1,8:19,,,WAS 15,0,7,Stephen Hauschka kicks extra point good,0.000,0.000
1,8:19,,,BUF 35,0,7,"Stephen Hauschka kicks off 65 yards, returned by Steven Sims for 18 yards (tackle by Robert Foster)",0.000,0.040
1,8:15,1,10,WAS 18,0,7,Dwayne Haskins pass complete short middle to Steven Sims for 12 yards (tackle by Micah Hyde),0.040,0.940
1,7:35,1,10,WAS 30,0,7,Dwayne Haskins pass complete short right to Terry McLaurin for 10 yards,0.940,1.600
1,7:09,1,10,WAS 40,0,7,Adrian Peterson right guard for 4 yards (tackle by Tremaine Edmunds and Matt Milano),1.600,1.590
1,6:30,2,6,WAS 44,0,7,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin (defended by Lorenzo Alexander),1.590,0.890
1,6:26,3,6,WAS 44,0,7,Dwayne Haskins pass incomplete short left intended for Wendell Smallwood,0.890,-0.460
1,6:19,4,6,WAS 44,0,7,Tress Way punts 46 yards downed by Tanner Vallejo,-0.460,0.380
1,6:06,1,10,BUF 10,0,7,Devin Singletary right guard for 4 yards (tackle by Matthew Ioannidis and Josh Norman),-0.380,-0.460
1,5:31,2,6,BUF 14,0,7,Josh Allen pass complete short right to Devin Singletary for 49 yards (tackle by Landon Collins),-0.460,3.120
1,4:55,1,10,WAS 37,0,7,Josh Allen left end for 6 yards (tackle by Cole Holcomb),3.120,3.380
1,4:19,2,4,WAS 31,0,7,Frank Gore up the middle for 3 yards (tackle by Landon Collins),3.380,3.070
1,4:00,3,1,WAS 28,0,7,Josh Allen up the middle for 1 yard (tackle by Ryan Kerrigan),3.070,3.780
1,3:17,1,10,WAS 27,0,7,Josh Allen pass incomplete deep right intended for Devin Singletary (defended by Josh Norman),3.780,3.230
1,3:11,2,10,WAS 27,0,7,Josh Allen pass incomplete short middle intended for Tyler Kroft,3.230,2.540
1,3:06,3,10,WAS 27,0,7,Josh Allen pass complete deep left to John Brown for 25 yards (tackle by Troy Apke),2.540,6.740
1,2:22,1,2,WAS 2,0,7,Josh Allen sacked by Montez Sweat for -6 yards,6.740,4.570
1,1:37,2,8,WAS 8,0,7,Josh Allen pass complete short middle to Isaiah McKenzie for -8 yards (tackle by Ryan Anderson),4.570,2.850
1,0:53,3,16,WAS 16,0,7,"Josh Allen aborted snap, recovered by Josh Allen at WAS-24 Josh Allen sacked by Matthew Ioannidis for -8 yards. Penalty on Mitch Morse: Offensive Holding (Declined)",2.850,1.870
1,0:28,4,24,WAS 24,0,10,Stephen Hauschka 42 yard field goal good,1.870,3.000
