Unnamed: 0,WAS,BUF
First Downs,12,18
Rush-Yds-TDs,23-127-0,39-122-2
Cmp-Att-Yd-TD-INT,15-22-144-0-0,14-20-160-1-0
Sacked-Yards,4-28,2-14
Net Pass Yards,116,146
Total Yards,243,268
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,3-15,2-20
Third Down Conv.,2-11,6-12
Fourth Down Conv.,0-1,1-2
Time of Possession,28:13,31:47
