Quarter,Time,Down,ToGo,Location,PIT,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 66 yards, returned by Gary Russell for 24 yards (tackle by Tim Hightower)",0.000,0.810
1,14:52,1,10,PIT 28,0,0,Willie Parker up the middle for 2 yards (tackle by Chike Okeafor),0.810,0.530
1,14:16,2,8,PIT 30,0,0,Ben Roethlisberger pass complete deep right to Hines Ward for 38 yards (tackle by Roderick Hood),0.530,3.450
1,13:40,1,10,ARI 32,0,0,Willie Parker left end for 9 yards (tackle by Gerald Hayes),3.450,4.120
1,13:08,2,1,ARI 23,0,0,Willie Parker up the middle for 1 yard (tackle by Adrian Wilson and Antonio Smith),4.120,4.110
1,12:14,1,10,ARI 22,0,0,Ben Roethlisberger pass complete deep middle to Heath Miller for 21 yards (tackle by Roderick Hood and Gerald Hayes),4.110,6.970
1,11:32,1,1,ARI 1,0,0,Gary Russell left tackle for -4 yards (tackle by Antonio Smith and Monty Beisel),6.970,5.150
1,10:49,2,5,ARI 5,0,0,Willie Parker right tackle for 4 yards (tackle by Ralph Brown and Gerald Hayes),5.150,5.170
1,10:11,3,1,ARI 1,0,0,Ben Roethlisberger sacked by Darnell Dockett for 0 yards,5.170,3.550
,,,,,,,"ARI challenged the runner broke the plane ruling, and the original play was overturned.",,
1,9:50,4,1,ARI 1,3,0,Jeff Reed 18 yard field goal good,3.550,3.000
1,9:50,,,PIT 30,3,0,"Jeff Reed kicks off 62 yards, returned by J.J. Arrington for 19 yards (tackle by Lawrence Timmons)",0.000,0.740
1,9:39,1,10,ARI 27,3,0,Edgerrin James up the middle for no gain (tackle by Casey Hampton and James Farrior),0.740,0.200
1,9:03,2,10,ARI 27,3,0,Kurt Warner pass complete short right to Steve Breaston for 10 yards (tackle by Bryant McFadden),0.200,1.400
1,8:24,1,10,ARI 37,3,0,"Tim Hightower left end for 2 yards (tackle by Ike Taylor and James Farrior). Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",1.400,0.740
1,7:57,1,20,ARI 27,3,0,"Kurt Warner for no gain. Kurt Warner fumbles, recovered by Edgerrin James at ARI-23 and returned for 4 yards",0.740,-0.490
1,7:15,2,20,ARI 27,3,0,Edgerrin James right tackle for 3 yards (tackle by James Harrison and Ryan Clark),-0.490,-0.760
1,6:30,3,17,ARI 30,3,0,Kurt Warner pass incomplete short left intended for Anquan Boldin,-0.760,-1.370
1,6:26,4,17,ARI 30,3,0,"Ben Graham punts 43 yards, returned by Santonio Holmes for 4 yards (tackle by Kenny Iwebema)",-1.370,-1.000
1,6:13,1,10,PIT 31,3,0,Ben Roethlisberger pass complete short left to Santonio Holmes for 25 yards (tackle by Gerald Hayes and Antrel Rolle),1.000,2.650
1,5:25,1,10,ARI 44,3,0,Ben Roethlisberger pass incomplete deep middle intended for Nate Washington (defended by Dominique Rodgers-Cromartie),2.650,2.110
1,5:16,2,10,ARI 44,3,0,Ben Roethlisberger pass complete short left to Santonio Holmes for 5 yards (tackle by Dominique Rodgers-Cromartie),2.110,2.080
1,4:31,3,5,ARI 39,3,0,"Penalty on Darnell Stapleton: False Start, 5 yards (no play)",2.080,1.420
1,4:09,3,10,ARI 44,3,0,Ben Roethlisberger pass complete short left to Heath Miller for 11 yards (tackle by Adrian Wilson),1.420,3.380
1,3:20,1,10,ARI 33,3,0,Willie Parker right end for no gain (tackle by Darnell Dockett and Monty Beisel),3.380,2.840
1,2:32,2,10,ARI 33,3,0,Ben Roethlisberger pass complete short middle to Heath Miller for 11 yards (tackle by Calais Campbell),2.840,4.110
1,1:50,1,10,ARI 22,3,0,Willie Parker right tackle for 8 yards (tackle by Adrian Wilson),4.110,4.850
1,1:10,2,2,ARI 14,3,0,Ben Roethlisberger pass complete short left to Santonio Holmes for 7 yards (tackle by Dominique Rodgers-Cromartie),4.850,5.600
1,0:30,1,7,ARI 7,3,0,Willie Parker left tackle for 2 yards (tackle by Antrel Rolle and Roderick Hood),5.600,5.150
Quarter,Time,Down,ToGo,Location,PIT,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ARI 5,3,0,Ben Roethlisberger pass complete short middle to Heath Miller for 4 yards (tackle by Gerald Hayes and Karlos Dansby),5.150,5.170
2,14:09,2,5,ARI 5,3,0,Timeout #1 by Pittsburgh Steelers,5.150,5.170
2,14:09,3,1,ARI 1,9,0,"Gary Russell right guard for 1 yard, touchdown",5.170,7.000
2,14:09,,,ARI 2,10,0,Jeff Reed kicks extra point good,0.000,0.000
2,14:09,,,PIT 30,10,0,"Jeff Reed kicks off 69 yards, muffed catch by J.J. Arrington, recovered by J.J. Arrington in ARZ end zone, and returned for 18 yards",0.000,-0.060
2,13:54,1,10,ARI 17,10,0,Kurt Warner pass incomplete short left intended for Leonard Pope,-0.060,-0.580
2,13:48,2,10,ARI 17,10,0,Kurt Warner pass complete short right to Edgerrin James for 10 yards (tackle by James Harrison),-0.580,0.740
2,13:16,1,10,ARI 27,10,0,Kurt Warner pass complete short right to Edgerrin James for 5 yards (tackle by James Farrior),0.740,0.870
2,12:33,2,5,ARI 32,10,0,Kurt Warner pass complete short left to Steve Breaston for 7 yards (tackle by Ike Taylor),0.870,1.530
2,12:05,1,10,ARI 39,10,0,Edgerrin James right tackle for 1 yard (tackle by James Farrior and Brett Keisel),1.530,1.120
2,11:24,2,9,ARI 40,10,0,Kurt Warner pass complete short left to Edgerrin James for 11 yards (tackle by Ike Taylor and James Farrior),1.120,2.320
2,10:42,1,10,PIT 49,10,0,"Tim Hightower right end for 3 yards (tackle by Larry Foote). Penalty on Ben Patrick: Offensive Holding, 10 yards (no play)",2.320,1.660
2,10:11,1,20,ARI 41,10,0,Kurt Warner pass complete short right to Steve Breaston for 13 yards (tackle by Bryant McFadden and Ryan Clark),1.660,2.190
