Quarter,Time,Tm,Detail,PIT,ARI
1.0,9:45,Steelers,Jeff Reed 18 yard field goal,3,0
2.0,14:01,Steelers,Gary Russell 1 yard rush (Jeff Reed kick),10,0
,8:34,Cardinals,Ben Patrick 1 yard pass from Kurt Warner (Neil Rackers kick),10,7
,0:00,Steelers,James Harrison 100 yard interception return (Jeff Reed kick),17,7
3.0,2:11,Steelers,Jeff Reed 21 yard field goal,20,7
4.0,7:33,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Neil Rackers kick),20,14
,2:58,Cardinals,"Safety, Justin Hartwig penalized for holding in the end zone.",20,16
,2:37,Cardinals,Larry Fitzgerald 64 yard pass from Kurt Warner (Neil Rackers kick),20,23
,0:35,Steelers,Santonio Holmes 6 yard pass from Ben Roethlisberger (Jeff Reed kick),27,23
