Unnamed: 0,PIT,ARI
First Downs,20,23
Rush-Yds-TDs,26-58-1,12-33-0
Cmp-Att-Yd-TD-INT,21-30-256-1-1,31-43-377-3-1
Sacked-Yards,2-22,2-3
Net Pass Yards,234,374
Total Yards,292,407
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-56,11-106
Third Down Conv.,4-10,3-8
Fourth Down Conv.,0-0,0-0
Time of Possession,33:01,26:59
