Unnamed: 0,TAM,JAX
First Downs,19,14
Rush-Yds-TDs,31-74-2,17-49-0
Cmp-Att-Yd-TD-INT,21-33-268-0-0,23-41-240-1-2
Sacked-Yards,4-27,5-47
Net Pass Yards,241,193
Total Yards,315,242
Fumbles-Lost,1-1,3-2
Turnovers,1,4
Penalties-Yards,8-44,16-121
Third Down Conv.,7-17,4-14
Fourth Down Conv.,1-2,1-3
Time of Possession,33:32,26:28
