Quarter,Time,Tm,Detail,TAM,JAX
1.0,2:49,Buccaneers,Peyton Barber 15 yard rush (Matt Gay kick),7,0
,2:39,Buccaneers,Devin White 14 yard fumble return (Peyton Barber run),15,0
2.0,7:58,Buccaneers,Peyton Barber 1 yard rush (Matt Gay kick),22,0
,0:57,Buccaneers,Matt Gay 25 yard field goal,25,0
3.0,5:46,Jaguars,Josh Lambo 53 yard field goal,25,3
4.0,13:37,Jaguars,Dede Westbrook 3 yard pass from Gardner Minshew II (Dede Westbrook pass from Gardner Minshew II),25,11
,2:19,Buccaneers,Matt Gay 37 yard field goal,28,11
