Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 69 yards, returned by Domenik Hixon for 35 yards (tackle by Dante Hughes)",0.000,1.330
1,14:54,1,10,DEN 36,0,0,Travis Henry left tackle for 10 yards (tackle by Bob Sanders and Gary Brackett),1.330,1.990
1,14:22,1,10,DEN 46,0,0,Travis Henry left tackle for 5 yards (tackle by Freddie Keiaho),1.990,2.130
1,13:45,2,5,IND 49,0,0,Travis Henry left end for 14 yards (tackle by Antoine Bethea and Rob Morris),2.130,3.250
1,13:08,1,10,IND 35,0,0,Travis Henry right end for 15 yards (tackle by Antoine Bethea),3.250,4.240
1,12:24,1,10,IND 20,0,0,Travis Henry up the middle for 3 yards (tackle by Rob Morris and Gary Brackett),4.240,4.120
1,11:47,2,7,IND 17,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,4.120,3.360
1,11:41,3,7,IND 17,0,0,Jay Cutler pass incomplete deep right intended for Brandon Marshall,3.360,2.310
1,11:36,4,7,IND 17,3,0,Jason Elam 35 yard field goal good,2.310,3.000
1,,,,DEN 30,3,0,"Todd Sauerbrun kicks off 67 yards, returned by T.J. Rushing for 27 yards (tackle by Steve Cargile)",0.000,0.940
1,11:27,1,10,IND 30,3,0,Peyton Manning pass complete short right to Dallas Clark for 17 yards (tackle by Nick Ferguson),0.940,2.060
1,11:20,1,10,IND 47,3,0,Joseph Addai left end for 3 yards (tackle by D.J. Williams),2.060,1.920
1,10:42,2,7,IND 50,3,0,Peyton Manning pass complete short left to Joseph Addai for 5 yards (tackle by Nick Ferguson),1.920,1.880
1,9:58,3,2,DEN 45,3,0,Joseph Addai right tackle for 2 yards (tackle by D.J. Williams and Ian Gold),1.880,2.720
1,9:23,1,10,DEN 43,3,0,Peyton Manning pass complete short left to Joseph Addai for -1 yards (tackle by D.J. Williams),2.720,2.040
1,8:42,2,11,DEN 44,3,0,Joseph Addai up the middle for 5 yards (tackle by Dre' Bly and Ian Gold),2.040,2.010
1,7:59,3,6,DEN 39,3,0,Peyton Manning pass incomplete short right intended for Dallas Clark,2.010,0.660
1,7:54,4,6,DEN 39,3,0,"Hunter Smith punts 25 yards, fair catch by Domenik Hixon",0.660,0.280
1,7:47,1,10,DEN 14,3,0,Jay Cutler pass complete short right to Brandon Marshall for 12 yards (tackle by Antoine Bethea),-0.280,0.670
1,7:07,1,10,DEN 26,3,0,Travis Henry right end for 13 yards (tackle by Bob Sanders),0.670,1.530
1,6:39,1,10,DEN 39,3,0,Travis Henry left tackle for 5 yards (tackle by Rob Morris and Raheem Brock),1.530,1.660
1,6:00,2,5,DEN 44,3,0,Selvin Young left tackle for 9 yards (tackle by Josh Thomas),1.660,2.460
1,5:20,1,10,IND 47,3,0,Selvin Young up the middle for 6 yards (tackle by Bob Sanders and Gary Brackett),2.460,2.720
1,4:39,2,4,IND 41,3,0,Jay Cutler pass incomplete short left intended for Brandon Stokley,2.720,2.010
1,4:35,3,4,IND 41,3,0,Selvin Young left end for 32 yards (tackle by Kelvin Hayden),2.010,5.140
1,3:46,1,9,IND 9,3,0,Travis Henry right end for 3 yards (tackle by Rob Morris),5.140,4.950
1,3:09,2,6,IND 6,3,0,"Travis Henry up the middle for -1 yards (tackle by Dwight Freeney). Travis Henry fumbles (forced by Dwight Freeney), recovered by Matt Lepsis at IND-7",4.950,3.810
1,2:26,3,7,IND 7,9,0,"Jay Cutler pass complete short middle to Brandon Marshall for 7 yards, touchdown",3.810,7.000
1,,,,IND 2,10,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,,,"Todd Sauerbrun kicks off 63 yards, returned by T.J. Rushing for 32 yards (tackle by Domenik Hixon). Penalty on Domenik Hixon: Unnecessary Roughness, 15 yards",,
1,2:11,1,10,DEN 46,10,0,Peyton Manning pass complete short left to Joseph Addai for 6 yards (tackle by D.J. Williams),2.520,2.790
1,1:52,2,4,DEN 40,10,0,Joseph Addai right end for 3 yards (tackle by D.J. Williams),2.790,2.480
1,1:16,3,1,DEN 37,10,0,Joseph Addai right end for 2 yards (tackle by D.J. Williams),2.480,3.250
1,0:38,1,10,DEN 35,10,0,Peyton Manning pass complete short middle to Marvin Harrison for 8 yards (tackle by Champ Bailey),3.250,3.780
1,0:04,2,2,DEN 27,10,0,Joseph Addai right tackle for 6 yards (tackle by D.J. Williams),3.780,4.170
Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 21,10,0,Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Champ Bailey),4.170,4.740
2,14:29,2,3,DEN 14,10,6,"Joseph Addai up the middle for 14 yards, touchdown",4.740,7.000
2,,,,DEN 2,10,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,10,7,"Adam Vinatieri kicks off 71 yards, returned by Domenik Hixon for 21 yards (tackle by Dante Hughes)",0.000,0.280
2,14:17,1,10,DEN 20,10,7,Travis Henry left tackle for 6 yards (tackle by Antoine Bethea and Josh Thomas),0.280,0.540
2,13:40,2,4,DEN 26,10,7,Jay Cutler pass complete short right to Daniel Graham for 14 yards (tackle by Kelvin Hayden),0.540,1.600
2,13:13,,,,10,7,Timeout #1 by Denver Broncos,0.000,1.600
2,13:13,1,10,DEN 40,10,7,Jay Cutler pass complete deep right to Nate Jackson for 24 yards (tackle by Antoine Bethea),1.600,3.180
2,12:31,1,10,IND 36,10,7,Travis Henry right tackle for 3 yards (tackle by Edward Johnson and Freddie Keiaho),3.180,3.040
2,11:55,2,7,IND 33,10,7,Travis Henry right tackle for 4 yards (tackle by Edward Johnson),3.040,2.870
2,11:16,3,3,IND 29,10,7,Travis Henry right tackle for 3 yards (tackle by Freddie Keiaho and Edward Johnson),2.870,3.840
2,10:47,1,10,IND 26,10,7,Travis Henry right end for 2 yards (tackle by Robert Mathis),3.840,3.570
2,10:10,2,8,IND 24,10,7,Jay Cutler pass complete short right to Brandon Stokley for 12 yards (tackle by Kelvin Hayden),3.570,4.780
2,9:44,1,10,IND 12,10,7,Travis Henry left end for 1 yard (tackle by Freddie Keiaho and Bob Sanders),4.780,4.270
2,9:13,2,9,IND 11,10,7,Jay Cutler pass incomplete short right intended for Nate Jackson (defended by Josh Thomas),4.270,3.290
2,9:10,3,9,IND 11,10,7,Selvin Young right guard for 7 yards (tackle by Marlin Jackson),3.290,3.040
2,8:32,4,2,IND 4,13,7,Jason Elam 22 yard field goal good,3.040,3.000
2,,,,DEN 30,13,7,"Todd Sauerbrun kicks off 65 yards, returned by T.J. Rushing for 34 yards (tackle by Champ Bailey)",0.000,1.530
2,8:22,1,10,IND 39,13,7,Joseph Addai left tackle for 14 yards (tackle by Marcus Thomas),1.530,2.460
2,7:38,1,10,DEN 47,13,7,Joseph Addai right end for 7 yards (tackle by Domonique Foxworth),2.460,2.860
2,7:08,2,3,DEN 40,13,7,Joseph Addai left guard for 4 yards (tackle by Champ Bailey),2.860,3.180
2,6:30,1,10,DEN 36,13,7,Peyton Manning pass complete short right to Dallas Clark for 7 yards (tackle by Champ Bailey),3.180,3.580
2,5:56,2,3,DEN 29,13,7,Kenton Keith left tackle for 3 yards (tackle by John Engelberger),3.580,3.840
2,5:20,1,10,DEN 26,13,7,Peyton Manning pass complete short left to Reggie Wayne for 13 yards (tackle by Nick Ferguson),3.840,4.710
2,4:39,1,10,DEN 13,13,7,Peyton Manning pass incomplete short left intended for Dallas Clark,4.710,4.050
2,4:36,2,10,DEN 13,13,7,Peyton Manning pass complete short middle to Kenton Keith for 4 yards (tackle by Nate Webster),4.050,3.880
2,3:55,3,6,DEN 9,13,13,"Peyton Manning pass complete short right to Dallas Clark for 9 yards, touchdown",3.880,7.000
2,,,,DEN 2,13,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,13,14,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.280
2,3:49,1,10,DEN 20,13,14,Travis Henry up the middle for 5 yards (tackle by Josh Thomas),0.280,0.410
2,3:17,2,5,DEN 25,13,14,Travis Henry right tackle for 3 yards (tackle by Rob Morris),0.410,0.100
2,2:32,3,2,DEN 28,13,14,Travis Henry right tackle for 1 yard (tackle by Freddie Keiaho),0.100,-1.440
2,2:00,4,1,DEN 29,13,14,"Todd Sauerbrun punts 47 yards, returned by T.J. Rushing for 2 yards (tackle by Louis Green)",-1.440,-0.670
2,1:49,1,10,IND 26,13,14,Peyton Manning pass incomplete short left intended for Reggie Wayne,0.670,0.130
2,1:46,2,10,IND 26,13,14,Peyton Manning pass complete short middle to Anthony Gonzalez for 19 yards (tackle by D.J. Williams),0.130,1.930
2,1:27,1,10,IND 45,13,14,Peyton Manning pass incomplete short middle intended for Joseph Addai,1.930,1.380
2,1:23,2,10,IND 45,13,14,Peyton Manning pass complete short right to Aaron Moorehead for 5 yards (tackle by Champ Bailey),1.380,1.360
2,1:06,3,5,,13,14,"Peyton Manning pass incomplete short left intended for Anthony Gonzalez. Penalty on Simeon Rice: Defensive Offside (Offsetting), Penalty on Ryan Diem: Offensive Holding (Offsetting) (no play)",1.360,1.360
2,1:02,3,5,,13,14,Peyton Manning pass incomplete short middle intended for Dallas Clark,1.360,-0.060
2,0:58,4,5,,13,14,"Hunter Smith punts 35 yards, fair catch by Domenik Hixon. Penalty on Dre' Bly: Illegal Block Above the Waist, 7 yards",-0.060,0.380
2,0:49,1,10,DEN 8,13,14,Travis Henry left tackle for 6 yards (tackle by Marlin Jackson),-0.380,-0.320
2,0:37,,,,13,14,Timeout #1 by Indianapolis Colts,0.000,-0.320
2,0:37,2,4,DEN 14,13,14,Travis Henry left end for 5 yards (tackle by Marlin Jackson),-0.320,0.150
Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,13,14,"Todd Sauerbrun kicks off 62 yards, returned by T.J. Rushing for 19 yards (tackle by Curome Cox)",0.000,0.740
3,14:55,1,10,IND 27,13,14,Joseph Addai right end for 17 yards (tackle by Ian Gold),0.740,1.860
3,14:21,1,10,IND 44,13,14,Peyton Manning pass complete short left to Bryan Fletcher for 12 yards (tackle by Nate Webster),1.860,2.650
