Unnamed: 0,DEN,IND
First Downs,22,30
Rush-Yds-TDs,36-223-1,37-226-2
Cmp-Att-Yd-TD-INT,13-21-131-1-1,20-27-193-3-0
Sacked-Yards,1-0,0-0
Net Pass Yards,131,193
Total Yards,354,419
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,4-32,2-10
Third Down Conv.,6-10,6-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:12,30:48
