Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
1,8:34,1,1,TEN 1,7,6,"Ito Smith left guard for 1 yard, touchdown",6.970,7.000
1,8:30,,,TEN 15,7,7,Matt Bryant kicks extra point good,0.000,0.000
1,8:30,,,ATL 35,7,7,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
1,8:30,1,10,TEN 25,7,7,Marcus Mariota pass incomplete short right,0.610,0.060
1,8:24,2,10,TEN 25,7,7,Marcus Mariota pass incomplete short left intended for Dion Lewis,0.060,-0.620
1,8:18,3,10,TEN 25,7,7,"Penalty on Delanie Walker: False Start, 5 yards (no play)",-0.620,-1.290
1,8:18,3,15,TEN 20,7,7,Marcus Mariota pass complete short middle to Corey Davis for 16 yards (tackle by De'Vondre Campbell),-1.290,1.330
1,7:38,1,10,TEN 36,7,7,Derrick Henry right guard for 3 yards (tackle by Takkarist McKinley and De'Vondre Campbell),1.330,1.200
1,6:57,2,7,TEN 39,7,7,Marcus Mariota right end for 11 yards (tackle by Deion Jones),1.200,2.260
1,6:18,1,10,TEN 50,7,7,"Derrick Henry left tackle for 1 yard (tackle by De'Vondre Campbell). Penalty on Tyeler Davison: Defensive Holding, 5 yards",2.260,2.650
1,5:55,1,10,ATL 44,7,7,Marcus Mariota pass incomplete short right,2.650,2.110
1,5:50,2,10,ATL 44,7,7,"Marcus Mariota pass incomplete short left intended for Corey Davis. Penalty on Tyeler Davison: Illegal Use of Hands, 5 yards (no play)",2.110,2.980
1,5:46,1,10,ATL 39,7,7,Derrick Henry left end for -1 yards (tackle by Takkarist McKinley),2.980,2.300
1,5:06,2,11,ATL 40,7,7,"Marcus Mariota pass complete short left to Delanie Walker for 4 yards (tackle by De'Vondre Campbell). Delanie Walker fumbles, ball out of bounds at ATL-36 (forced by De'Vondre Campbell)",2.300,2.150
1,4:32,3,7,ATL 36,7,7,Marcus Mariota pass complete short right to Adam Humphries for 9 yards (tackle by Kendall Sheffield),2.150,3.780
1,3:52,1,10,ATL 27,7,7,Derrick Henry left end for 16 yards (tackle by Isaiah Oliver),3.780,4.840
1,3:12,1,10,ATL 11,7,7,Derrick Henry right guard for no gain (tackle by Grady Jarrett and Vic Beasley),4.840,4.140
1,2:32,2,10,ATL 11,13,7,"Marcus Mariota pass complete short right to A.J. Brown for 11 yards, touchdown",4.140,7.000
1,2:26,,,ATL 15,14,7,Cairo Santos kicks extra point good,0.000,0.000
1,2:26,,,TEN 35,14,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,2:26,1,10,ATL 25,14,7,Matt Ryan pass complete deep right to Julio Jones for 20 yards (tackle by Malcolm Butler),0.610,1.930
1,1:57,1,10,ATL 45,14,7,Devonta Freeman right end for 3 yards (tackle by Kevin Byard),1.930,1.790
1,1:26,2,7,ATL 48,14,7,Matt Ryan pass incomplete short left intended for Austin Hooper,1.790,1.090
1,1:21,3,7,ATL 48,14,7,Matt Ryan pass complete short middle to Austin Hooper for 16 yards (tackle by Kenny Vaccaro and Harold Landry),1.090,3.180
1,0:46,1,10,TEN 36,14,7,Devonta Freeman left guard for 2 yards (tackle by DaQuan Jones and Jayon Brown),3.180,2.910
1,0:13,2,8,TEN 34,14,7,"Matt Ryan sacked by Jurrell Casey for -12 yards. Matt Ryan fumbles (forced by Jurrell Casey), recovered by Jurrell Casey at TEN-46 (tackle by Austin Hooper). Penalty on Malcolm Butler: Taunting, 15 yards",2.910,-1.000
1,0:05,1,10,TEN 31,14,7,Dion Lewis right guard for 3 yards (tackle by Kemal Ishmael and Tyeler Davison),1.000,0.870
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,TEN 34,14,7,Marcus Mariota pass complete short left to Dion Lewis for -1 yards (tackle by Tyeler Davison and Deion Jones),0.870,0.040
2,14:15,3,8,TEN 33,14,7,Marcus Mariota left end for 4 yards (tackle by Deion Jones),0.040,-0.910
2,13:37,4,4,TEN 37,14,7,Brett Kern punts 53 yards out of bounds,-0.910,0.380
2,13:28,1,10,ATL 10,14,7,Matt Ryan pass incomplete deep middle intended for Calvin Ridley,-0.380,-0.780
2,13:21,2,10,ATL 10,14,7,Devonta Freeman right tackle for -2 yards (tackle by Wesley Woodyard),-0.780,-1.650
2,12:41,3,12,ATL 8,14,7,Matt Ryan right end for 6 yards (tackle by Rashaan Evans),-1.650,-2.470
2,12:23,4,6,ATL 14,14,7,"Matthew Bosher punts 50 yards, returned by Adam Humphries for 2 yards (tackle by Jaeden Graham)",-2.470,-1.470
2,12:12,1,10,TEN 38,14,7,Marcus Mariota pass complete deep left to A.J. Brown for 28 yards (tackle by Isaiah Oliver),1.470,3.310
2,11:31,1,10,ATL 34,14,7,Derrick Henry right guard for 1 yard (tackle by Kemal Ishmael and John Cominsky),3.310,2.910
2,10:53,2,9,ATL 33,14,7,Marcus Mariota pass complete short right to Adam Humphries for 6 yards (tackle by Damontae Kazee),2.910,3.010
2,10:12,3,3,ATL 27,14,7,Marcus Mariota pass incomplete short right intended for Corey Davis,3.010,1.770
2,10:07,4,3,ATL 27,17,7,Cairo Santos 45 yard field goal good,1.770,3.000
2,10:03,,,TEN 35,17,7,"Cairo Santos kicks off 67 yards, returned by Kendall Sheffield for 29 yards (tackle by LeShaun Sims)",0.000,0.740
2,9:55,1,10,ATL 27,17,7,Devonta Freeman right tackle for 3 yards (tackle by Rashaan Evans),0.740,0.600
2,9:21,2,7,ATL 30,17,7,Matt Ryan pass incomplete deep right intended for Julio Jones (defended by Jayon Brown),0.600,-0.100
2,9:15,3,7,ATL 30,17,7,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by Adoree' Jackson),-0.100,1.660
2,8:40,1,10,ATL 41,17,7,Matt Ryan pass complete short left to Devonta Freeman for 4 yards (tackle by Kamalei Correa),1.660,1.660
2,7:58,2,6,ATL 45,17,7,Devonta Freeman left tackle for 7 yards (tackle by Kevin Byard),1.660,2.390
2,7:21,1,10,TEN 48,17,7,Julio Jones left end for 1 yard (tackle by Reggie Gilbert),2.390,1.980
2,6:41,2,9,TEN 47,17,7,Matt Ryan pass incomplete short right intended for Mohamed Sanu (defended by Cameron Wake),1.980,1.290
2,6:38,3,9,TEN 47,17,7,Matt Ryan pass complete short middle to Mohamed Sanu for 8 yards (tackle by Rashaan Evans and Kenny Vaccaro),1.290,0.660
2,5:57,,,,,,Timeout #1 by Tennessee Titans,,
2,5:57,4,1,TEN 39,17,7,Devonta Freeman left guard for -1 yards (tackle by Kenny Vaccaro and Jurrell Casey),0.660,-1.600
2,5:50,1,10,TEN 40,17,7,Derrick Henry left tackle for 5 yards (tackle by Tyeler Davison),1.600,1.730
2,5:13,2,5,TEN 45,17,7,Derrick Henry left tackle for 5 yards (tackle by Adrian Clayborn and De'Vondre Campbell),1.730,2.260
2,4:37,1,10,TEN 50,17,7,Marcus Mariota pass complete deep right to Corey Davis for 22 yards (tackle by Kemal Ishmael),2.260,3.710
2,3:58,1,10,ATL 28,17,7,Marcus Mariota pass complete short right to Dion Lewis for -3 yards (tackle by De'Vondre Campbell),3.710,2.760
2,3:15,2,13,ATL 31,17,7,Marcus Mariota pass complete short right to Derrick Henry for 8 yards (tackle by Kemal Ishmael and De'Vondre Campbell),2.760,3.140
2,2:31,3,5,ATL 23,23,7,"Marcus Mariota pass complete short left to Corey Davis for 23 yards, touchdown",3.140,7.000
2,2:23,,,ATL 15,24,7,Cairo Santos kicks extra point good,0.000,0.000
2,2:23,,,TEN 35,24,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,2:23,1,10,ATL 25,24,7,Matt Ryan pass complete short middle to Austin Hooper for 10 yards (tackle by Rashaan Evans and Jayon Brown),0.610,1.270
2,2:04,1,10,ATL 35,24,7,Matt Ryan pass complete short left to Julio Jones for 3 yards (tackle by Malcolm Butler),1.270,1.130
2,1:59,2,7,ATL 38,24,7,Matt Ryan pass complete short right to Austin Hooper for 7 yards (tackle by Rashaan Evans),1.130,1.930
2,1:52,1,10,ATL 45,24,7,Matt Ryan pass incomplete deep middle intended for Mohamed Sanu,1.930,1.380
2,1:47,2,10,ATL 45,24,7,Matt Ryan pass complete short right to Devonta Freeman for 5 yards (tackle by Adoree' Jackson),1.380,1.360
2,1:42,3,5,ATL 50,24,7,Matt Ryan pass complete short left to Mohamed Sanu for 6 yards (tackle by Adoree' Jackson),1.360,2.650
2,1:20,1,10,TEN 44,24,7,Matt Ryan pass complete short right to Austin Hooper for 9 yards (tackle by Adoree' Jackson),2.650,3.330
2,1:15,2,1,TEN 35,24,7,"Matt Ryan pass complete short right to Ito Smith for -2 yards (tackle by Wesley Woodyard). Penalty on Harold Landry: Roughing the Passer, 15 yards (no play)",3.330,4.240
2,1:10,1,10,TEN 20,24,7,Matt Ryan pass incomplete short left intended for Ito Smith,4.240,3.690
2,1:05,2,10,TEN 20,24,7,Matt Ryan pass complete short right to Mohamed Sanu for 6 yards (tackle by Logan Ryan),3.690,3.890
2,0:42,3,4,TEN 14,24,7,Matt Ryan pass incomplete short right,3.890,2.580
2,0:35,4,4,TEN 14,24,7,Matt Bryant 32 yard field goal no good,2.580,-0.410
2,0:30,1,10,TEN 22,24,7,Dion Lewis left guard for 3 yards (tackle by Grady Jarrett),0.410,0.270
2,0:25,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:25,2,7,TEN 25,24,7,Dion Lewis left tackle for 3 yards (tackle by De'Vondre Campbell and Deion Jones),0.270,-0.030
2,0:18,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:18,3,4,TEN 28,24,7,Dion Lewis left guard for 7 yards (tackle by Jack Crawford and De'Vondre Campbell),-0.030,1.270
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,24,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ATL 25,24,7,Matt Ryan pass complete short right to Devonta Freeman for 22 yards (tackle by Malcolm Butler),0.610,2.060
3,14:21,1,10,ATL 47,24,7,Devonta Freeman left guard for -1 yards (tackle by Logan Ryan and Reggie Gilbert),2.060,1.380
3,13:47,2,11,ATL 46,24,7,Matt Ryan left end for 12 yards (tackle by Jayon Brown),1.380,2.790
3,13:09,1,10,TEN 42,24,7,Matt Ryan pass incomplete deep left,2.790,2.240
3,13:01,2,10,TEN 42,24,7,Matt Ryan pass incomplete short left intended for Devonta Freeman,2.240,1.550
3,12:58,3,10,TEN 42,24,7,Matt Ryan pass complete deep left to Mohamed Sanu for 28 yards (tackle by Kevin Byard and Amani Hooker),1.550,4.650
3,12:18,1,10,TEN 14,24,7,"Mohamed Sanu left end for 2 yards (tackle by Jayon Brown). Penalty on Austin Hooper: Offensive Holding, 10 yards (no play)",4.650,3.970
3,11:58,1,20,TEN 24,24,7,Matt Ryan pass incomplete short right intended for Luke Stocker,3.970,2.740
3,11:53,,,,,,Timeout #1 by Tennessee Titans,,
3,11:53,2,20,TEN 24,24,7,Matt Ryan pass incomplete short right intended for Calvin Ridley,2.740,2.080
3,11:48,3,20,TEN 24,24,7,Matt Ryan pass incomplete deep middle intended for Mohamed Sanu,2.080,1.870
3,11:41,4,20,TEN 24,24,10,Matt Bryant 42 yard field goal good,1.870,3.000
3,11:39,,,ATL 35,24,10,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
3,11:39,1,10,TEN 25,24,10,Marcus Mariota pass complete short middle to Corey Davis for 16 yards (tackle by Ricardo Allen),0.610,1.660
3,11:05,1,10,TEN 41,24,10,Derrick Henry right end for -1 yards (tackle by De'Vondre Campbell),1.660,0.990
3,10:39,2,11,TEN 40,24,10,Marcus Mariota pass complete short left to Jonnu Smith for 5 yards (tackle by De'Vondre Campbell and Kemal Ishmael),0.990,0.960
3,9:53,3,6,TEN 45,24,10,Marcus Mariota pass incomplete short right,0.960,-0.390
3,9:48,4,6,TEN 45,24,10,Brett Kern punts 50 yards out of bounds,-0.390,0.380
3,9:40,1,10,ATL 5,24,10,Devonta Freeman left tackle for 8 yards (tackle by Isaiah Mack and Logan Ryan),-0.380,-0.190
3,9:06,2,2,ATL 13,24,10,Devonta Freeman left tackle for 3 yards (tackle by Wesley Woodyard),-0.190,-0.140
3,8:45,1,10,ATL 16,24,10,Matt Ryan pass complete deep right to Calvin Ridley for 21 yards,-0.140,1.400
3,8:05,1,10,ATL 37,24,10,Matt Ryan pass complete deep middle to Austin Hooper for 24 yards (tackle by Kevin Byard and Wesley Woodyard),1.400,2.980
3,7:26,1,10,TEN 39,24,10,Matt Ryan sacked by Harold Landry for -6 yards,2.980,1.630
3,6:41,2,16,TEN 45,24,10,Devonta Freeman up the middle for 1 yard (tackle by Jayon Brown and Rashaan Evans),1.630,1.090
3,6:04,3,15,TEN 44,24,10,Matt Ryan pass complete short left to Mohamed Sanu for 14 yards (tackle by Kenny Vaccaro and Logan Ryan),1.090,1.520
3,5:18,4,1,TEN 30,24,10,Matt Ryan sacked by Harold Landry for -9 yards,1.520,-1.530
3,5:12,1,10,TEN 39,24,10,Derrick Henry right guard for 5 yards (tackle by Tyeler Davison),1.530,1.660
3,4:28,2,5,TEN 44,24,10,Derrick Henry right tackle for 6 yards (tackle by De'Vondre Campbell),1.660,2.260
3,3:49,1,10,TEN 50,24,10,"Marcus Mariota pass incomplete short left. Penalty on Marcus Mariota: Intentional Grounding, 10 yards",2.260,0.360
3,3:45,2,20,TEN 40,24,10,Marcus Mariota pass incomplete short right intended for Delanie Walker,0.360,-0.300
3,3:41,3,20,TEN 40,24,10,Marcus Mariota pass complete short middle to Dion Lewis for 11 yards (tackle by Ricardo Allen and Deion Jones),-0.300,0.000
3,2:55,4,9,ATL 49,24,10,Brett Kern punts 39 yards out of bounds,0.000,0.380
3,2:48,1,10,ATL 10,24,10,"Penalty on Kaleb McGary: False Start, 5 yards (no play)",-0.380,-0.570
3,2:48,1,15,ATL 5,24,10,Matt Ryan pass complete short left to Mohamed Sanu for 7 yards (tackle by Kenny Vaccaro and Logan Ryan),-0.570,-0.630
3,2:09,2,8,ATL 12,24,10,Matt Ryan pass incomplete deep left,-0.630,-1.190
3,2:01,3,8,ATL 12,24,10,Matt Ryan pass incomplete short left intended for Austin Hooper (defended by Kevin Byard). Penalty on Ito Smith: Offensive Holding (Declined),-1.190,-2.490
3,1:56,4,8,ATL 12,24,10,"Matthew Bosher punts 45 yards, fair catch by Adam Humphries at TEN-43",-2.490,-1.800
3,1:46,1,10,TEN 43,24,10,Derrick Henry left end for 15 yards (tackle by Ricardo Allen and De'Vondre Campbell),1.800,2.790
3,1:12,1,10,ATL 42,24,10,Derrick Henry left tackle for 13 yards (tackle by Vic Beasley and Ricardo Allen),2.790,3.640
3,0:32,1,10,ATL 29,24,10,Derrick Henry left guard for 5 yards (tackle by Tyeler Davison and Grady Jarrett),3.640,3.780
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,ATL 24,24,10,"Penalty on Grady Jarrett: Neutral Zone Infraction, 5 yards (no play)",3.780,4.310
4,15:00,1,10,ATL 19,24,10,Marcus Mariota pass incomplete short left,4.310,3.750
4,14:49,2,10,ATL 19,24,10,Derrick Henry left tackle for 2 yards (tackle by Grady Jarrett and Kemal Ishmael),3.750,3.260
4,14:05,3,8,ATL 17,24,10,"Marcus Mariota right guard for 7 yards (tackle by Adrian Clayborn). Marcus Mariota fumbles (forced by Adrian Clayborn), recovered by Marcus Mariota at ATL-10",3.260,2.910
4,13:14,4,1,ATL 10,24,10,Derrick Henry left guard for -2 yards (tackle by Vic Beasley),2.910,0.350
4,13:09,1,10,ATL 12,24,10,Matt Ryan pass incomplete deep left intended for Julio Jones,-0.350,-0.780
4,13:05,2,10,ATL 12,24,10,Matt Ryan pass complete short right to Mohamed Sanu for 6 yards (tackle by Reggie Gilbert),-0.780,-0.720
4,12:31,3,4,ATL 18,24,10,Matt Ryan pass incomplete short left intended for Ito Smith,-0.720,-2.240
4,12:26,4,4,ATL 18,24,10,Matt Ryan pass complete short left to Mohamed Sanu for 8 yards (tackle by Amani Hooker),-2.240,0.670
4,11:55,1,10,ATL 26,24,10,Matt Ryan pass complete short middle to Devonta Freeman for 9 yards (tackle by Logan Ryan),0.670,1.350
4,11:24,2,1,ATL 35,24,10,Matt Ryan pass complete short middle to Devonta Freeman for 9 yards (tackle by Kenny Vaccaro and Rashaan Evans),1.350,1.860
4,11:01,1,10,ATL 44,24,10,Matt Ryan sacked by and Isaiah Mack for -5 yards,1.860,0.640
4,10:29,2,15,ATL 39,24,10,Matt Ryan pass complete short left to Austin Hooper for 12 yards (tackle by Rashaan Evans),0.640,1.550
4,9:47,3,3,TEN 49,24,10,Matt Ryan pass complete short left to Julio Jones for 18 yards (tackle by Amani Hooker),1.550,3.510
4,9:21,1,10,TEN 31,24,10,"Matt Ryan pass complete short middle to Devonta Freeman for 9 yards (tackle by Jayon Brown). Penalty on Alex Mack: Unnecessary Roughness, 15 yards (no play)",3.510,2.520
4,8:58,1,25,TEN 46,24,10,Matt Ryan pass complete short left to Devonta Freeman for -1 yards (tackle by Malcolm Butler),2.520,0.810
4,8:25,2,26,TEN 47,24,10,Matt Ryan pass complete short right to Calvin Ridley for 3 yards (tackle by Adoree' Jackson),0.810,0.560
4,7:57,3,23,TEN 44,24,10,Matt Ryan pass complete short right to Austin Hooper for 19 yards (tackle by Amani Hooker),0.560,1.880
4,7:16,4,4,TEN 25,24,10,Matt Ryan sacked by Jayon Brown for -1 yards,1.880,-0.670
4,7:10,1,10,TEN 26,24,10,Derrick Henry left guard for -1 yards (tackle by Desmond Trufant and Grady Jarrett),0.670,-0.010
4,6:27,2,11,TEN 25,24,10,"Derrick Henry left tackle for 6 yards (tackle by Vic Beasley and Kemal Ishmael). Penalty on Tyeler Davison: Defensive Holding, 5 yards",-0.010,1.330
4,5:51,1,10,TEN 36,24,10,Derrick Henry right tackle for 7 yards (tackle by Grady Jarrett and De'Vondre Campbell),1.330,1.740
4,5:09,2,3,TEN 43,24,10,Derrick Henry right guard for 2 yards (tackle by Tyeler Davison and Kemal Ishmael),1.740,1.290
4,4:23,3,1,TEN 45,24,10,"Derrick Henry right end for 7 yards (tackle by De'Vondre Campbell and Deion Jones). Derrick Henry fumbles, ball out of bounds at ATL-48 (forced by De'Vondre Campbell)",1.290,2.390
4,3:48,1,10,ATL 48,24,10,Derrick Henry right guard for 8 yards (tackle by Kemal Ishmael and De'Vondre Campbell),2.390,2.930
4,3:43,,,,,,Timeout #1 by Atlanta Falcons,,
4,3:43,2,2,ATL 40,24,10,Derrick Henry right guard for -1 yards (tackle by John Cominsky and Ricardo Allen),2.930,2.080
4,3:39,,,,,,Timeout #2 by Atlanta Falcons,,
4,3:38,3,3,ATL 41,24,10,Marcus Mariota pass complete short middle to Darius Jennings for 6 yards (tackle by John Cominsky),2.080,3.250
4,3:31,,,,,,Timeout #3 by Atlanta Falcons,,
4,3:31,1,10,ATL 35,24,10,Derrick Henry right guard for no gain (tackle by Grady Jarrett and Ricardo Allen),3.250,2.700
4,2:48,2,10,ATL 35,24,10,Derrick Henry left guard for -1 yards (tackle by Deion Jones and De'Vondre Campbell),2.700,1.880
4,2:01,3,11,ATL 36,24,10,Derrick Henry left tackle for 1 yard (tackle by Allen Bailey and Tyeler Davison),1.880,0.970
4,1:58,4,10,ATL 35,24,10,Brett Kern punts 33 yards,0.970,0.380
4,1:46,1,10,ATL 2,24,10,Matt Ryan pass complete short left to Calvin Ridley for 8 yards (tackle by Malcolm Butler),-0.380,-0.200
4,1:23,2,2,ATL 10,24,10,Matt Ryan pass complete short middle to Devonta Freeman for 15 yards (tackle by Logan Ryan),-0.200,0.610
4,1:02,1,10,ATL 25,24,10,Matt Ryan pass complete short middle to Devonta Freeman for 9 yards (tackle by Rashaan Evans),0.610,1.280
4,0:35,2,1,ATL 34,24,10,Matt Ryan pass complete short middle to Ito Smith for 9 yards (tackle by Wesley Woodyard),1.280,1.800
4,0:13,1,10,ATL 43,24,10,Matt Ryan pass complete short middle to Ito Smith for 11 yards (tackle by Kevin Byard),1.800,2.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
