Unnamed: 0,TEN,ATL
First Downs,22,24
Rush-Yds-TDs,34-138-0,17-58-1
Cmp-Att-Yd-TD-INT,18-27-227-3-0,35-53-397-0-0
Sacked-Yards,0-0,5-33
Net Pass Yards,227,364
Total Yards,365,422
Fumbles-Lost,3-0,1-1
Turnovers,0,1
Penalties-Yards,5-77,7-50
Third Down Conv.,6-13,5-14
Fourth Down Conv.,0-1,1-4
Time of Possession,29:19,30:41
