Quarter,Time,Tm,Detail,TEN,ATL
1.0,11:57,Titans,A.J. Brown 55 yard pass from Marcus Mariota (Cairo Santos kick),7,0
,8:30,Falcons,Ito Smith 1 yard rush (Matt Bryant kick),7,7
,2:26,Titans,A.J. Brown 11 yard pass from Marcus Mariota (Cairo Santos kick),14,7
2.0,10:03,Titans,Cairo Santos 45 yard field goal,17,7
,2:23,Titans,Corey Davis 23 yard pass from Marcus Mariota (Cairo Santos kick),24,7
3.0,11:39,Falcons,Matt Bryant 42 yard field goal,24,10
