Unnamed: 0,KAN,ATL
First Downs,17,16
Rush-Yds-TDs,33-184-1,36-186-3
Cmp-Att-Yd-TD-INT,14-36-128-1-3,12-18-192-1-0
Sacked-Yards,2-11,0-0
Net Pass Yards,117,192
Total Yards,301,378
Fumbles-Lost,2-0,1-1
Turnovers,3,1
Penalties-Yards,3-13,4-22
Third Down Conv.,8-18,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:50,30:10
