#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ATL 22,3,1:35,1,Punt
2,1,11:47,ATL 28,3,1:20,6,Punt
3,1,8:52,ATL 19,3,1:42,6,Punt
4,1,6:44,ATL 8,6,3:24,92,Touchdown
5,1,1:33,ATL 31,3,1:26,69,Touchdown
6,2,13:29,ATL 38,3,1:29,5,Punt
7,2,11:04,KAN 18,4,1:49,9,Field Goal
8,2,7:55,KAN 40,10,5:44,40,Touchdown
9,2,0:03,,0,0:03,0,End of Half
10,3,9:49,ATL 40,8,4:36,60,Touchdown
11,4,14:56,ATL 22,6,4:16,34,Punt
12,4,3:53,ATL 1,6,2:46,56,Punt
