Quarter,Time,Tm,Detail,TAM,BAL
1.0,7:39,Buccaneers,Martin Gramatica 36 yard field goal,3,0
,1:54,Buccaneers,Karl Williams 56 yard punt return (Martin Gramatica kick),10,0
2.0,3:51,Buccaneers,Martin Gramatica 30 yard field goal,13,0
3.0,14:44,Buccaneers,"Safety,",15,0
,8:13,Buccaneers,Martin Gramatica 30 yard field goal,18,0
4.0,1:06,Buccaneers,Derrick Brooks 97 yard interception return (Martin Gramatica kick),25,0
