Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
1,4:34,1,10,,3,0,Mike Alstott middle for 2 yards (tackle by Adalius Thomas and Shannon Taylor),2.260,1.980
1,3:55,2,8,BAL 48,3,0,Brad Johnson pass complete to Michael Pittman for 4 yards (tackle by Adalius Thomas),1.980,1.820
1,3:18,3,4,BAL 44,3,0,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Chris McAlister),1.820,0.330
1,3:04,4,4,BAL 44,3,0,"Tom Tupa punts 41 yards, out of bounds",0.330,0.380
1,2:56,1,10,BAL 3,3,0,Jamal Lewis left tackle for 4 yards (tackle by Ronde Barber and John Lynch),-0.380,-0.490
1,2:32,2,6,BAL 7,3,0,Chris Redman pass incomplete intended for Brandon Stokley (defended by Ronde Barber),-0.490,-0.950
1,2:18,3,6,BAL 7,3,0,Chris Redman pass incomplete intended for Brandon Stokley,-0.950,-2.490
1,2:13,4,6,BAL 7,9,0,"Dave Zastudil punts 49 yards, returned by Karl Williams for 56 yards, touchdown",-2.490,-7.000
1,1:54,,,BAL 7,10,0,"Martin Gramatica kicks extra point good. Penalty on Marco Battaglia: Offensive Holding, 10 yards (no play)",0.000,0.000
1,1:54,,,BAL 7,10,0,Martin Gramatica kicks extra point good,0.000,0.000
1,1:54,,,TAM 30,10,0,"Martin Gramatica kicks off 60 yards, returned by Robert Tate for 15 yards (tackle by Nate Webster)",0.000,0.610
1,1:50,1,10,BAL 25,10,0,Chris Redman pass complete to Jamal Lewis for 8 yards (tackle by Shelton Quarles and Alshermond Singleton),0.610,1.140
1,1:15,2,2,BAL 33,10,0,"Chester Taylor middle for 1 yard (tackle by Warren Sapp). Penalty on Warren Sapp: Personal Foul, 15 yards",1.140,2.190
1,0:44,1,10,BAL 49,10,0,Chester Taylor middle for 1 yard (tackle by Dexter Jackson),2.190,1.780
1,0:13,2,9,,10,0,Chris Redman pass complete to Todd Heap for no gain,1.780,1.090
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,,10,0,Chris Redman pass complete to Todd Heap for 9 yards (tackle by Greg Spires),1.090,2.850
2,14:28,1,10,TAM 41,10,0,Jamal Lewis right end for 1 yard (tackle by Alshermond Singleton and John Lynch),2.850,2.440
2,13:48,2,9,TAM 40,10,0,Jamal Lewis middle for 6 yards (tackle by Simeon Rice),2.440,2.540
2,13:48,3,3,TAM 34,10,0,Jamal Lewis middle for -1 yards (tackle by Warren Sapp and Alshermond Singleton),2.540,0.980
2,12:29,4,4,TAM 35,10,0,Dave Zastudil punts 29 yards,0.980,0.380
2,12:16,1,10,TAM 6,10,0,Mike Alstott left guard for -1 yards (tackle by Cornell Brown),-0.380,-0.850
2,11:47,2,11,TAM 5,10,0,Brad Johnson pass incomplete intended for Mike Alstott (defended by Chris McAlister),-0.850,-1.540
2,11:34,3,11,TAM 5,10,0,Brad Johnson pass complete to Joe Jurevicius for 14 yards (tackle by Gary Baxter),-1.540,0.150
2,11:10,1,10,TAM 19,10,0,Brad Johnson pass complete to Michael Pittman for 5 yards (tackle by Chris McAlister),0.150,0.340
2,10:43,2,5,TAM 24,10,0,Brad Johnson pass complete to Keyshawn Johnson for 5 yards (tackle by Gary Baxter and Ed Reed),0.340,0.870
2,10:01,1,10,TAM 29,10,0,Michael Pittman right end for 6 yards (tackle by Ed Hartwell),0.870,1.140
2,9:31,2,4,TAM 35,10,0,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Gary Baxter: Defensive Holding, 5 yards (no play)",1.140,1.600
2,9:07,1,10,TAM 40,10,0,Mike Alstott left guard for 3 yards (tackle by Ma'ake Kemoeatu and Marques Douglas),1.600,1.460
2,8:31,2,7,TAM 43,10,0,Brad Johnson pass complete to Mike Alstott for -2 yards (tackle by Ray Lewis),1.460,0.500
2,7:48,3,9,TAM 41,10,0,Brad Johnson pass complete to Michael Pittman for 24 yards (tackle by Michael McCrary),0.500,3.250
2,7:04,1,10,BAL 35,10,0,Mike Alstott middle for 1 yard (tackle by Ray Lewis and Anthony Weaver),3.250,2.840
2,6:28,2,9,BAL 34,10,0,Brad Johnson pass incomplete intended for Todd Yoder,2.840,2.150
2,6:12,3,9,BAL 34,10,0,Brad Johnson pass complete to Keenan McCardell for 9 yards (tackle by Chad Williams). Penalty on Alvin Porter: Defensive Holding (Declined),2.150,3.910
2,5:57,1,10,BAL 25,10,0,Michael Pittman right guard for 1 yard (tackle by Ray Lewis and Cornell Brown),3.910,3.500
2,5:19,2,9,BAL 24,10,0,"Brad Johnson pass incomplete intended for Joe Jurevicius. Penalty on Peter Boulware: Defensive Holding, 5 yards (no play)",3.500,4.310
2,5:07,1,10,BAL 19,10,0,Michael Pittman right tackle for 2 yards (tackle by Ray Lewis and Cornell Brown),4.310,4.030
2,4:44,2,8,BAL 17,10,0,"Brad Johnson pass complete to Mike Alstott for 5 yards (tackle by Cornell Brown). Mike Alstott fumbles (forced by Cornell Brown), ball out of bounds at BAL-12",4.030,4.190
2,3:57,3,3,BAL 12,10,0,Brad Johnson pass incomplete intended for Marco Battaglia (defended by Chad Williams),4.190,2.730
2,3:57,4,3,BAL 12,13,0,Martin Gramatica 30 yard field goal good,2.730,3.000
2,3:57,,,TAM 30,13,0,"Martin Gramatica kicks off 72 yards, returned by Robert Tate for 29 yards (tackle by John Howell)",0.000,0.740
2,3:46,1,10,BAL 27,13,0,Chris Redman pass incomplete intended for Jamal Lewis (defended by Alshermond Singleton),0.740,0.200
2,3:40,2,10,BAL 27,13,0,Chris Redman sacked by Ellis Wyms for -9 yards,0.200,-1.880
2,3:16,3,19,BAL 18,13,0,Chris Redman pass complete to Jamal Lewis for 9 yards (tackle by Derrick Brooks),-1.880,-1.570
2,2:33,4,10,BAL 27,13,0,"Dave Zastudil punts 52 yards, returned by Karl Williams for 6 yards (tackle by Bernardo Harris)",-1.570,-0.740
2,2:18,1,10,TAM 27,13,0,Brad Johnson pass complete to Mike Alstott for 16 yards (tackle by Ray Lewis and Ed Reed),0.740,1.800
2,2:00,1,10,TAM 43,13,0,Brad Johnson pass incomplete intended for Michael Pittman,1.800,1.250
2,1:55,2,10,TAM 43,13,0,Brad Johnson pass complete to Joe Jurevicius for 4 yards (tackle by Anthony Mitchell),1.250,1.090
2,1:50,2,10,TAM 43,,,Timeout #1 by Tampa Bay Buccaneers,1.250,1.090
2,1:50,3,6,TAM 47,13,0,Brad Johnson pass incomplete intended for Joe Jurevicius,1.090,-0.260
2,1:45,4,6,TAM 47,13,0,"Tom Tupa punts 53 yards, touchback",-0.260,-0.280
2,1:37,1,10,BAL 20,13,0,Jamal Lewis middle for 2 yards (tackle by Shelton Quarles and Ellis Wyms),0.280,0.000
2,1:08,2,8,BAL 22,13,0,Chris Redman pass complete to Brandon Stokley for 25 yards (tackle by Dexter Jackson),0.000,2.060
2,0:53,2,8,BAL 22,,,Timeout #1 by Baltimore Ravens,0.000,2.060
2,0:53,1,10,BAL 47,13,0,Chris Redman pass complete to Jamal Lewis for 3 yards (tackle by Ronde Barber),2.060,1.920
2,0:44,1,10,BAL 47,,,Timeout #2 by Baltimore Ravens,2.060,1.920
2,0:44,2,7,,13,0,Chris Redman pass incomplete intended for Travis Taylor,1.920,1.220
2,0:41,3,7,,13,0,Chris Redman pass complete to Jamal Lewis for 8 yards (tackle by Derrick Brooks),1.220,2.790
2,0:21,1,10,TAM 42,13,0,Chris Redman spiked the ball,2.790,2.240
2,0:21,2,10,TAM 42,13,0,Chris Redman pass incomplete intended for Brandon Stokley (defended by Ronde Barber),2.240,1.550
2,0:16,3,10,TAM 42,13,0,"Chris Redman pass incomplete intended for Travis Taylor. Penalty on Simeon Rice: Defensive Offside, 5 yards (no play)",1.550,2.210
2,0:11,3,5,TAM 37,13,0,Chris Redman pass incomplete intended for Travis Taylor,2.210,0.790
2,0:07,4,5,TAM 37,13,0,"J.R. Jenkins 55 yard field goal no good, blocked by Ellis Wyms, recovered by Simeon Rice and returned for 27 yards",0.790,0.000
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,13,0,"Martin Gramatica kicks off 65 yards, returned by Robert Tate for 17 yards (tackle by Corey Ivy)",0.000,0.410
3,14:54,1,10,BAL 22,15,0,"Chris Redman for no gain. Chris Redman fumbles, safety",0.410,-2.000
3,14:54,1,10,BAL 22,15,0,--,0.410,0.000
3,14:54,,,BAL 20,15,0,"Dave Zastudil kicks off 63 yards, returned by Karl Williams for 23 yards (tackle by John Jones)",0.000,1.600
3,14:36,1,10,TAM 40,15,0,Michael Pittman right tackle for 5 yards (tackle by Ed Hartwell and Ray Lewis),1.600,1.730
3,14:04,2,5,TAM 45,15,0,Mike Alstott right tackle for 3 yards (tackle by Ed Hartwell and Kelly Gregg),1.730,1.420
3,13:23,3,2,TAM 48,15,0,Brad Johnson pass complete to Mike Alstott for 5 yards (tackle by Chris McAlister),1.420,2.460
3,12:44,1,10,BAL 47,15,0,Michael Pittman left guard for -2 yards (tackle by Kelly Gregg),2.460,1.640
3,12:00,2,12,BAL 49,15,0,Brad Johnson pass complete to Keyshawn Johnson for 22 yards (tackle by Gary Baxter and Ed Reed),1.640,3.780
3,11:19,1,10,BAL 27,15,0,Michael Pittman left end for 2 yards (tackle by Ray Lewis),3.780,3.500
3,10:54,2,8,BAL 25,15,0,Brad Johnson pass complete to Keenan McCardell for 16 yards (tackle by Ray Lewis),3.500,5.140
3,10:07,1,9,BAL 9,15,0,Michael Pittman middle for 2 yards (tackle by Ray Lewis and Shannon Taylor),5.140,4.760
3,9:29,2,7,BAL 7,15,0,"Penalty on Todd Yoder: False Start, 5 yards (no play)",4.760,3.860
3,9:19,2,12,BAL 12,15,0,Brad Johnson pass incomplete intended for Mike Alstott,3.860,3.100
3,8:57,3,12,BAL 12,15,0,"Penalty on Kerry Jenkins: False Start, 5 yards (no play)",3.100,2.740
3,8:57,3,17,BAL 17,15,0,Brad Johnson pass complete to Michael Pittman for 5 yards (tackle by Gary Baxter),2.740,2.630
3,8:30,4,12,BAL 12,18,0,Martin Gramatica 30 yard field goal good,2.630,3.000
3,8:30,,,TAM 30,18,0,"Martin Gramatica kicks off 64 yards, returned by Robert Tate for 17 yards (tackle by Nate Webster)",0.000,0.480
3,8:08,1,10,BAL 23,18,0,Jamal Lewis left guard for -1 yards (tackle by John Lynch and Alshermond Singleton),0.480,-0.200
3,7:38,2,11,BAL 22,18,0,Chris Redman pass incomplete intended for Brandon Stokley,-0.200,-0.890
3,7:21,3,11,BAL 22,18,0,"Chris Redman pass incomplete intended for Travis Taylor. Penalty on Brian Kelly: Defensive Holding, 5 yards (no play)",-0.890,0.740
3,7:16,1,10,BAL 27,18,0,Jamal Lewis right tackle for no gain (tackle by Ronde Barber and Shelton Quarles),0.740,0.200
3,6:43,2,10,BAL 27,18,0,Chris Redman sacked by Anthony McFarland for -7 yards,0.200,-1.420
3,6:16,3,17,BAL 20,18,0,Jamal Lewis middle for 8 yards (tackle by Alshermond Singleton),-1.420,-1.500
3,5:36,4,9,BAL 28,18,0,"Dave Zastudil punts 53 yards. Penalty on Dwight Smith: Personal Foul, 9 yards",-1.500,0.380
3,5:15,1,10,TAM 10,18,0,Michael Pittman middle for no gain (tackle by Shannon Taylor and Kelly Gregg),-0.380,-0.780
3,4:52,2,10,TAM 10,18,0,Brad Johnson pass complete to Aaron Stecker for 8 yards (tackle by Anthony Mitchell),-0.780,-0.480
3,4:22,3,2,TAM 18,18,0,Aaron Stecker left guard for 2 yards (tackle by Ed Hartwell and Michael McCrary),-0.480,0.280
3,3:31,1,10,TAM 20,18,0,Aaron Stecker right end for 3 yards (tackle by Peter Boulware),0.280,0.140
3,2:51,2,7,TAM 23,18,0,Brad Johnson pass complete to Aaron Stecker for -1 yards (tackle by Cornell Brown),0.140,-0.690
3,2:10,3,8,TAM 22,18,0,"Aaron Stecker right end for 6 yards (tackle by Anthony Mitchell). Penalty on TAM: Offensive Holding, 10 yards",-0.690,-1.330
3,1:37,3,12,TAM 18,18,0,Mike Alstott right tackle for 10 yards (tackle by Ray Lewis and Gary Baxter),-1.330,-1.500
3,1:03,4,2,TAM 28,18,0,"Tom Tupa punts 51 yards, returned by Chris McAlister for 10 yards (tackle by Dwight Smith)",-1.500,-1.000
3,0:52,1,10,BAL 31,18,0,Chris Redman pass complete to Travis Taylor for 9 yards (tackle by Alshermond Singleton and Shelton Quarles),1.000,1.680
3,0:30,2,1,BAL 40,18,0,Jamal Lewis left guard for 3 yards (tackle by John Lynch and Ronde Barber),1.680,1.800
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 43,18,0,Chris Redman pass incomplete intended for Travis Taylor (defended by Ronde Barber),1.800,1.250
4,14:56,2,10,BAL 43,18,0,"Chris Redman pass incomplete intended for Ron Johnson. Penalty on Alshermond Singleton: Defensive Holding, 5 yards (no play)",1.250,2.130
4,14:49,1,10,BAL 48,18,0,Chris Redman pass complete to Brandon Stokley for 6 yards (tackle by Brian Kelly),2.130,2.390
4,14:18,2,4,TAM 46,18,0,Jamal Lewis left tackle for -2 yards (tackle by Derrick Brooks),2.390,1.420
4,13:33,3,6,TAM 48,18,0,Chris Redman pass complete to Brandon Stokley for 21 yards (tackle by Brian Kelly),1.420,3.780
4,12:58,1,10,TAM 27,18,0,Chris Redman pass incomplete intended for Todd Heap,3.780,3.230
4,12:42,2,10,TAM 27,18,0,Chris Redman pass incomplete intended for Brandon Stokley (defended by Ronde Barber),3.230,2.540
4,12:37,3,10,TAM 27,18,0,"Chris Redman pass incomplete intended for Ron Johnson. Penalty on Bennie Anderson: Face Mask (15 Yards), 15 yards (no play)",2.540,0.560
4,12:31,3,25,TAM 42,18,0,Chris Redman pass incomplete intended for Jamal Lewis,0.560,0.460
4,12:27,4,25,TAM 42,18,0,"Dave Zastudil punts 29 yards, fair catch by Karl Williams",0.460,0.320
4,12:20,1,10,TAM 13,18,0,Mike Alstott middle for 2 yards (tackle by Cornell Brown and Ed Reed),-0.320,-0.570
4,11:49,2,8,TAM 15,18,0,Aaron Stecker right end for 2 yards (tackle by Cornell Brown and Ray Lewis),-0.570,-0.940
4,11:07,3,6,TAM 17,18,0,Mike Alstott middle for -1 yards (tackle by Gary Baxter),-0.940,-2.390
4,10:23,4,7,TAM 16,18,0,"Tom Tupa punts 49 yards, returned by Jeff Ogden for 2 yards (tackle by Corey Ivy)",-2.390,-1.400
4,10:11,1,10,BAL 37,18,0,Jamal Lewis middle for 8 yards (tackle by John Lynch),1.400,1.940
4,9:54,2,2,BAL 45,18,0,"Jamal Lewis left guard for 5 yards (tackle by Greg Spires). Penalty on Greg Spires: Face Mask (5 Yards), 5 yards",1.940,2.590
4,9:15,1,10,TAM 45,18,0,Chris Redman pass incomplete intended for Todd Heap,2.590,2.040
4,9:06,2,10,TAM 45,18,0,Chris Redman pass complete to Alan Ricard for 1 yard (tackle by Alshermond Singleton),2.040,1.490
4,8:28,3,9,TAM 44,18,0,Chris Redman pass incomplete intended for Travis Taylor (defended by Derrick Brooks). Penalty on Jeff Ogden: Illegal Formation (Declined),1.490,0.330
4,8:16,4,9,TAM 44,18,0,"Dave Zastudil punts 31 yards, fair catch by Karl Williams",0.330,0.320
4,8:08,1,10,TAM 13,18,0,Mike Alstott right guard for 1 yard (tackle by Marques Douglas and Ray Lewis),-0.320,-0.680
4,7:34,2,9,TAM 14,18,0,Mike Alstott middle for 1 yard (tackle by Ray Lewis and Ed Hartwell),-0.680,-1.180
4,6:55,3,8,TAM 15,18,0,Aaron Stecker middle for 2 yards (tackle by Peter Boulware),-1.180,-2.320
4,6:33,4,6,TAM 17,18,0,"Tom Tupa punts 56 yards, returned by Jeff Ogden for 19 yards (tackle by Ryan Nece)",-2.320,-1.990
4,5:58,1,10,BAL 46,18,0,Jamal Lewis right tackle for 5 yards (tackle by Chartric Darby),1.990,2.130
4,5:30,2,5,TAM 49,18,0,Jamal Lewis right guard for 5 yards (tackle by Dexter Jackson),2.130,2.650
4,5:02,1,10,TAM 44,18,0,Chris Redman pass incomplete intended for Travis Taylor (defended by Brian Kelly),2.650,2.110
4,4:49,2,10,TAM 44,18,0,Chris Redman pass incomplete intended for Todd Heap (defended by John Lynch),2.110,1.420
4,4:44,3,10,TAM 44,18,0,Chris Redman pass complete to John Jones for 7 yards (tackle by John Lynch),1.420,0.790
4,4:36,4,3,TAM 37,18,0,Chris Redman pass complete to Todd Heap for 11 yards (tackle by Derrick Brooks),0.790,3.840
4,4:06,1,10,TAM 26,18,0,Chris Redman pass complete to Brandon Stokley for 5 yards (tackle by Alshermond Singleton and Shelton Quarles),3.840,3.970
4,3:26,2,5,TAM 21,18,0,Chris Redman pass incomplete intended for Ron Johnson,3.970,3.270
4,3:10,3,5,TAM 21,18,0,Chris Redman pass complete to Jamal Lewis for 10 yards (tackle by Shelton Quarles and Ronde Barber),3.270,4.840
4,2:40,1,10,TAM 11,18,0,Jamal Lewis middle for 7 yards (tackle by Nate Webster and Alshermond Singleton),4.840,5.470
4,2:00,2,3,TAM 4,18,0,Jamal Lewis right guard for no gain (tackle by Anthony McFarland),5.470,4.670
4,1:34,3,3,TAM 4,24,0,"Chris Redman pass incomplete intended for Todd Heap is intercepted by Derrick Brooks at TAM-3 and returned for 97 yards, touchdown",4.670,-7.000
4,1:06,,,BAL 4,25,0,Martin Gramatica kicks extra point good,0.000,0.000
4,1:06,,,TAM 30,25,0,"Martin Gramatica kicks off 68 yards, returned by Javin Hunter for 15 yards (tackle by Dwight Smith)",0.000,-0.060
4,0:59,1,10,BAL 17,25,0,Chris Redman pass complete to Travis Taylor for 9 yards (tackle by Alshermond Singleton),-0.060,0.750
4,0:41,2,1,BAL 26,25,0,Chris Redman sacked by Corey Smith for -7 yards,0.750,-1.000
4,0:15,3,8,BAL 19,25,0,Chris Redman pass incomplete intended for Chester Taylor,-1.000,-2.140
4,0:09,4,8,BAL 19,25,0,Chris Redman pass incomplete intended for Javin Hunter (defended by Ronde Barber),-2.140,-4.310
4,0:06,1,10,BAL 19,25,0,Brad Johnson kneels for -1 yards,4.310,3.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
