Unnamed: 0,TAM,BAL
First Downs,17,12
Rush-Yds-TDs,30-74-0,20-55-0
Cmp-Att-Yd-TD-INT,24-31-211-0-0,16-38-141-0-1
Sacked-Yards,1-6,3-23
Net Pass Yards,205,118
Total Yards,279,173
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,10-74,3-25
Third Down Conv.,6-14,4-15
Fourth Down Conv.,0-0,1-2
Time of Possession,35:31,24:29
