Unnamed: 0,NYG,GNB
First Downs,15,23
Rush-Yds-TDs,17-70-0,25-75-1
Cmp-Att-Yd-TD-INT,23-44-299-1-1,25-40-362-4-0
Sacked-Yards,2-4,5-31
Net Pass Yards,295,331
Total Yards,365,406
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,3-42,2-20
Third Down Conv.,5-16,5-14
Fourth Down Conv.,1-1,1-2
Time of Possession,25:29,34:31
