Quarter,Time,Tm,Detail,NYG,GNB
1.0,5:44,Giants,Robbie Gould 26 yard field goal,3,0
2.0,7:24,Giants,Robbie Gould 40 yard field goal,6,0
,2:20,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),6,7
,0:00,Packers,Randall Cobb 42 yard pass from Aaron Rodgers (Mason Crosby kick),6,14
3.0,5:16,Giants,Tavarres King 41 yard pass from Eli Manning (Robbie Gould kick),13,14
,2:53,Packers,Randall Cobb 30 yard pass from Aaron Rodgers (Mason Crosby kick),13,21
,0:21,Packers,Mason Crosby 32 yard field goal,13,24
4.0,9:19,Packers,Randall Cobb 16 yard pass from Aaron Rodgers (Mason Crosby kick),13,31
,2:43,Packers,Aaron Ripkowski 1 yard rush (Mason Crosby kick),13,38
