Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,HOU 20,0,0,Case Keenum pass complete deep left to Andre Johnson for 35 yards (tackle by Rashaan Melvin),0.280,2.590
1,14:44,1,10,BAL 45,0,0,Arian Foster up the middle for 4 yards (tackle by Terrell Suggs),2.590,2.580
1,14:16,2,6,BAL 41,0,0,Case Keenum pass complete short left to DeAndre Hopkins for 7 yards (tackle by Rashaan Melvin),2.580,3.310
1,13:55,1,10,BAL 34,0,0,Case Keenum pass complete short left to Andre Johnson for 7 yards (tackle by Rashaan Melvin and C.J. Mosley),3.310,3.720
1,13:55,2,3,BAL 27,0,0,Arian Foster right tackle for 4 yards (tackle by Brandon Williams and Chris Canty),3.720,4.040
1,12:39,1,10,BAL 23,0,0,Case Keenum pass complete short right to Andre Johnson for 14 yards (tackle by Lardarius Webb),4.040,5.140
1,12:04,1,9,BAL 9,0,0,"Arian Foster right tackle for -2 yards (tackle by Courtney Upshaw and Darian Stewart). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",5.140,4.230
1,11:33,1,19,BAL 19,0,0,Case Keenum pass incomplete short left intended for DeAndre Hopkins,4.230,3.070
1,11:28,2,19,BAL 19,0,0,Arian Foster up the middle for 2 yards (tackle by Terrell Suggs),3.070,2.740
1,10:46,3,17,BAL 17,0,0,Case Keenum pass incomplete short right intended for Arian Foster,2.740,2.310
1,10:37,4,17,BAL 17,0,3,Randy Bullock 35 yard field goal good,2.310,3.000
1,10:37,,,HOU 35,0,3,"Randy Bullock kicks off 71 yards, returned by Jacoby Jones for 21 yards (tackle by Danieal Manning)",0.000,0.220
1,10:28,1,10,BAL 15,0,3,Justin Forsett left tackle for 2 yards (tackle by Akeem Dent and Kendrick Lewis),-0.220,-0.440
1,9:54,2,8,BAL 17,0,3,Justin Forsett right tackle for -1 yards (tackle by J.J. Watt),-0.440,-1.250
1,9:13,3,9,BAL 16,0,3,"Joe Flacco right end for 5 yards (tackle by Whitney Mercilus). Joe Flacco fumbles (forced by Whitney Mercilus), ball out of bounds at BAL-21",-1.250,-1.960
1,8:53,4,4,BAL 21,0,3,"Sam Koch punts 54 yards, returned by Keshawn Martin for no gain",-1.960,-0.610
1,8:39,1,10,HOU 25,0,3,Arian Foster left tackle for 1 yard (tackle by Jeromy Miles),0.610,0.200
1,7:57,2,9,HOU 26,0,3,Case Keenum pass complete short left to Ryan Griffin for 8 yards (tackle by C.J. Mosley),0.200,0.560
1,7:36,3,1,HOU 34,0,3,Arian Foster left guard for 5 yards (tackle by Will Hill and Rashaan Melvin),0.560,1.530
1,7:09,1,10,HOU 39,0,3,Alfred Blue left end for 5 yards (tackle by C.J. Mosley),1.530,1.660
1,6:37,2,5,HOU 44,0,3,Case Keenum pass incomplete deep left intended for Andre Johnson is intercepted by Darian Stewart at BAL-23,1.660,-0.480
1,6:29,1,10,BAL 23,0,3,Joe Flacco pass incomplete short middle intended for Owen Daniels,0.480,-0.070
1,6:24,2,10,BAL 23,0,3,Justin Forsett left end for -1 yards (tackle by Jared Crick and Whitney Mercilus),-0.070,-0.070
1,5:36,2,10,BAL 23,0,3,Timeout #1 by Baltimore Ravens,-0.070,-0.890
1,5:36,3,11,BAL 22,0,3,Joe Flacco pass incomplete short middle intended for Steve Smith,-0.890,-1.900
1,5:32,4,11,BAL 22,0,3,Sam Koch punts 54 yards,-1.900,-0.540
1,5:20,1,10,HOU 24,0,3,Case Keenum pass incomplete deep right intended for DeAndre Hopkins,0.540,0.000
1,5:11,2,10,HOU 24,0,3,Arian Foster left guard for no gain (tackle by Pernell McPhee),0.000,-0.690
1,4:28,3,10,HOU 24,0,3,Arian Foster left guard for 11 yards (tackle by Rashaan Melvin),-0.690,1.270
1,3:46,1,10,HOU 35,0,3,Arian Foster left end for 3 yards (tackle by Darian Stewart),1.270,1.130
1,3:07,2,7,HOU 38,0,3,Alfred Blue left tackle for 4 yards (tackle by Courtney Upshaw and Lawrence Guy),1.130,0.960
1,2:26,3,3,HOU 42,0,3,Case Keenum pass complete short middle to Arian Foster for 23 yards (tackle by Matt Elam). Penalty on Elvis Dumervil: Defensive Offside (Declined),0.960,3.250
1,2:00,1,10,BAL 35,0,3,Case Keenum pass complete short middle to Damaris Johnson for 22 yards (tackle by Will Hill),3.250,4.710
1,1:27,1,10,BAL 13,0,3,"Penalty on Tyson Clabo: False Start, 5 yards (no play)",4.710,4.290
1,1:04,1,15,BAL 18,0,3,"Case Keenum pass incomplete deep right intended for Arian Foster. Penalty on Pernell McPhee: Defensive Offside, 5 yards (no play)",4.290,4.710
1,0:54,1,10,BAL 13,0,3,Arian Foster right tackle for 2 yards (tackle by Terrell Suggs and Chris Canty),4.710,4.390
1,0:10,2,8,BAL 11,0,3,Case Keenum pass incomplete short left intended for Andre Johnson,4.390,3.450
1,0:07,3,8,BAL 11,0,3,Case Keenum pass complete short middle to Damaris Johnson for 4 yards (tackle by Will Hill),3.450,2.990
Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,BAL 7,0,6,Randy Bullock 25 yard field goal good,2.990,3.000
2,15:00,,,HOU 35,0,6,"Randy Bullock kicks off 72 yards, returned by Jacoby Jones for 33 yards (tackle by Jumal Rolle)",0.000,-0.670
2,14:50,1,10,BAL 26,0,6,Fitzgerald Toussaint left tackle for 2 yards (tackle by Brian Cushing and John Simon),0.670,0.400
2,14:11,2,8,BAL 28,0,6,Joe Flacco pass complete short right to Steve Smith for 9 yards (tackle by Brooks Reed),0.400,1.400
2,13:49,1,10,BAL 37,0,6,Joe Flacco pass incomplete deep left intended for Kamar Aiken,1.400,0.860
2,13:40,2,10,BAL 37,0,6,Bernard Pierce right guard for -2 yards (tackle by J.J. Watt),0.860,-0.100
2,12:57,3,12,BAL 35,0,6,Joe Flacco pass complete short right to Steve Smith for 8 yards (tackle by Johnathan Joseph),-0.100,-0.520
2,12:23,4,4,BAL 43,0,6,"Sam Koch punts 57 yards, touchback",-0.520,-0.280
2,12:13,1,10,HOU 20,0,6,Case Keenum pass incomplete deep left intended for DeAndre Hopkins,0.280,-0.270
2,12:06,2,10,HOU 20,0,6,Case Keenum pass complete short left to Andre Johnson for 4 yards (tackle by Terrell Suggs),-0.270,-0.430
