Unnamed: 0,BAL,HOU
First Downs,15,18
Rush-Yds-TDs,16-33-0,38-123-0
Cmp-Att-Yd-TD-INT,21-50-195-2-3,21-43-190-1-1
Sacked-Yards,2-17,0-0
Net Pass Yards,178,190
Total Yards,211,313
Fumbles-Lost,1-0,1-0
Turnovers,3,1
Penalties-Yards,7-56,7-69
Third Down Conv.,4-15,7-21
Fourth Down Conv.,0-2,0-0
Time of Possession,25:02,34:58
