Unnamed: 0,DEN,STL
First Downs,21,16
Rush-Yds-TDs,10-28-0,33-131-0
Cmp-Att-Yd-TD-INT,34-54-389-1-2,20-29-220-1-0
Sacked-Yards,2-20,3-14
Net Pass Yards,369,206
Total Yards,397,337
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,8-62,3-25
Third Down Conv.,4-12,6-17
Fourth Down Conv.,0-3,0-0
Time of Possession,24:10,35:50
