Quarter,Time,Tm,Detail,DEN,STL
1.0,9:14,Rams,Greg Zuerlein 37 yard field goal,0,3
,1:10,Rams,Kenny Britt 63 yard pass from Shaun Hill (Greg Zuerlein kick),0,10
2.0,3:57,Rams,Greg Zuerlein 29 yard field goal,0,13
,2:22,Broncos,Emmanuel Sanders 42 yard pass from Peyton Manning (Brandon McManus kick),7,13
3.0,1:41,Rams,Greg Zuerlein 22 yard field goal,7,16
4.0,11:59,Rams,Greg Zuerlein 55 yard field goal,7,19
,4:44,Rams,Greg Zuerlein 53 yard field goal,7,22
