Quarter,Time,Down,ToGo,Location,DEN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 70 yards, returned by Benny Cunningham for 25 yards (tackle by David Bruton)",0.000,-0.280
1,14:54,1,10,STL 20,0,0,Shaun Hill pass complete short right to Tavon Austin for 5 yards (tackle by Aqib Talib),0.280,0.410
1,14:24,2,5,STL 25,0,0,Tre Mason right tackle for 2 yards (tackle by Von Miller),0.410,-0.030
1,13:50,3,3,STL 27,0,0,Shaun Hill pass complete deep right to Kenny Britt for 33 yards (tackle by Aqib Talib),-0.030,2.920
1,13:01,1,10,DEN 40,0,0,Tre Mason right guard for 2 yards (tackle by Sylvester Williams and Steven Johnson),2.920,2.640
1,12:23,2,8,DEN 38,0,0,Shaun Hill pass incomplete short left intended for Jared Cook,2.640,1.950
1,12:17,3,8,DEN 38,0,0,"Penalty on Malik Jackson: Neutral Zone Infraction, 5 yards (no play)",1.950,2.610
1,12:17,3,3,DEN 33,0,0,Shaun Hill pass complete short right to Jared Cook for 3 yards (tackle by Bradley Roby),2.610,3.580
1,11:47,1,10,DEN 30,0,0,Tre Mason up the middle for 10 yards (tackle by Rahim Moore),3.580,4.240
1,11:15,1,10,DEN 20,0,0,Tre Mason right guard for 4 yards (tackle by Brandon Marshall and DeMarcus Ware),4.240,4.280
1,10:37,2,6,DEN 16,0,0,Tavon Austin right guard for 2 yards (tackle by Brandon Marshall and Terrance Knighton),4.280,3.890
1,9:56,3,4,DEN 14,0,0,Shaun Hill sacked by Von Miller for -5 yards,3.890,2.180
1,9:24,4,9,DEN 19,0,3,Greg Zuerlein 37 yard field goal good,2.180,3.000
1,9:24,,,STL 35,0,3,"Greg Zuerlein kicks off 64 yards, returned by Andre Caldwell for 14 yards (tackle by Will Herring)",0.000,0.220
1,9:08,1,10,DEN 15,0,3,"Peyton Manning pass incomplete short left intended for Julius Thomas. Penalty on Ryan Clady: Offensive Holding, 7 yards (no play)",-0.220,-0.650
1,9:04,1,17,DEN 8,0,3,Peyton Manning pass complete deep left to Emmanuel Sanders for 22 yards (tackle by Janoris Jenkins),-0.650,0.940
1,8:40,1,10,DEN 30,0,3,Peyton Manning pass incomplete short left intended for Julius Thomas,0.940,0.390
1,8:37,2,10,DEN 30,0,3,Peyton Manning pass complete short right to Wes Welker for 8 yards (tackle by E.J. Gaines and James Laurinaitis),0.390,0.760
1,8:12,3,2,DEN 38,0,3,Peyton Manning pass complete short right to Julius Thomas for 1 yard (tackle by T.J. McDonald),0.760,-0.780
1,7:28,4,1,DEN 39,0,3,"Britton Colquitt punts 41 yards, returned by Tavon Austin for 3 yards (tackle by Kayvon Webster)",-0.780,-0.480
1,7:16,1,10,STL 23,0,3,Tre Mason right tackle for 15 yards (tackle by Brandon Marshall),0.480,1.470
1,6:43,1,10,STL 38,0,3,Tre Mason right tackle for 4 yards (tackle by Brandon Marshall),1.470,1.460
1,5:59,2,6,STL 42,0,3,Tre Mason right tackle for no gain (tackle by Von Miller and Brandon Marshall),1.460,0.760
1,5:16,3,6,STL 42,0,3,Shaun Hill pass incomplete deep left intended for Tavon Austin,0.760,-0.590
1,5:09,4,6,STL 42,0,3,"Johnny Hekker punts 37 yards, fair catch by Isaiah Burse",-0.590,-0.340
1,5:02,1,10,DEN 21,0,3,C.J. Anderson left tackle for 4 yards (tackle by Alec Ogletree),0.340,0.340
1,4:42,2,6,DEN 25,0,3,Peyton Manning pass complete short right to C.J. Anderson for 3 yards (tackle by James Laurinaitis and Alec Ogletree),0.340,0.040
1,4:04,3,3,DEN 28,0,3,Peyton Manning pass complete short middle to Emmanuel Sanders for 12 yards (tackle by E.J. Gaines),0.040,1.600
1,3:41,1,10,DEN 40,0,3,Peyton Manning pass complete short right to Julius Thomas for 2 yards (tackle by T.J. McDonald),1.600,1.320
1,3:16,2,8,DEN 42,0,3,Peyton Manning pass complete short left to Wes Welker for 3 yards (tackle by James Laurinaitis),1.320,1.030
1,2:47,3,5,DEN 45,0,3,Peyton Manning pass complete short middle to Emmanuel Sanders for 13 yards (tackle by E.J. Gaines),1.030,2.790
1,2:27,1,10,STL 42,0,3,C.J. Anderson up the middle for 1 yard (tackle by Eugene Sims),2.790,2.380
1,2:06,2,9,STL 41,0,3,Peyton Manning pass complete short middle to Wes Welker for 4 yards (tackle by Alec Ogletree and T.J. McDonald),2.380,2.210
1,1:26,3,5,STL 37,0,3,Peyton Manning pass incomplete short left intended for Montee Ball,2.210,0.790
1,1:22,4,5,STL 37,0,3,Peyton Manning pass incomplete short middle intended for Emmanuel Sanders (defended by E.J. Gaines),0.790,-1.400
1,1:18,1,10,STL 37,0,9,"Shaun Hill pass complete deep middle to Kenny Britt for 63 yards, touchdown",1.400,7.000
1,1:18,,,DEN 2,0,10,Greg Zuerlein kicks extra point good,0.000,0.000
1,1:18,,,STL 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,1:10,1,10,DEN 20,0,10,"Penalty on Louis Vasquez: False Start, 5 yards (no play)",0.280,-0.310
1,1:10,1,15,DEN 15,0,10,C.J. Anderson left guard for 6 yards (tackle by William Hayes),-0.310,-0.130
1,0:33,2,9,DEN 21,0,10,Peyton Manning pass complete short right to Demaryius Thomas for 15 yards (tackle by E.J. Gaines),-0.130,1.330
1,0:01,1,10,DEN 36,0,10,C.J. Anderson right tackle for 1 yard (tackle by William Hayes and Aaron Donald),1.330,0.930
Quarter,Time,Down,ToGo,Location,DEN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,DEN 37,0,10,Peyton Manning pass incomplete short middle intended for Wes Welker,0.930,0.230
2,14:57,3,9,DEN 37,0,10,Peyton Manning pass incomplete deep right intended for Jacob Tamme,0.230,-0.910
2,14:53,4,9,DEN 37,0,10,"Britton Colquitt punts 39 yards, fair catch by Tavon Austin",-0.910,-0.540
2,14:45,1,10,STL 24,0,10,Tre Mason left end for 5 yards (tackle by Chris Harris),0.540,0.670
2,14:07,2,5,STL 29,0,10,Shaun Hill pass complete short left to Lance Kendricks for -3 yards (tackle by DeMarcus Ware),0.670,-0.430
2,13:23,3,8,STL 26,0,10,Shaun Hill pass incomplete short middle intended for Kenny Britt,-0.430,-1.630
2,13:16,4,8,STL 26,0,10,"Johnny Hekker punts 54 yards, fair catch by Isaiah Burse",-1.630,-0.280
2,13:08,1,10,DEN 20,0,10,C.J. Anderson left tackle for 1 yard (tackle by Alec Ogletree and E.J. Gaines),0.280,-0.130
2,12:26,2,9,DEN 21,0,10,Peyton Manning pass complete short left to Jacob Tamme for 8 yards (tackle by T.J. McDonald and James Laurinaitis),-0.130,0.230
2,11:44,3,1,DEN 29,0,10,Peyton Manning pass complete short right to C.J. Anderson for 21 yards (tackle by Rodney McLeod),0.230,2.260
2,11:12,1,10,,0,10,Peyton Manning pass incomplete short right intended for Jacob Tamme (defended by Trumaine Johnson),2.260,1.710
2,11:06,2,10,,0,10,Peyton Manning pass incomplete short right intended for Montee Ball,1.710,1.030
2,11:03,3,10,,0,10,Peyton Manning pass incomplete deep middle intended for Jacob Tamme (defended by T.J. McDonald),1.030,-0.060
2,10:55,4,10,,0,10,"Britton Colquitt punts 30 yards, fair catch by Tavon Austin",-0.060,-0.280
2,10:52,1,10,STL 20,0,10,Tre Mason left tackle for 4 yards (tackle by Brandon Marshall and Steven Johnson),0.280,0.270
2,10:17,2,6,STL 24,0,10,Tre Mason right end for 4 yards (tackle by Chris Harris),0.270,0.100
