Unnamed: 0,DEN,BAL
First Downs,30,14
Rush-Yds-TDs,21-97-2,30-84-1
Cmp-Att-Yd-TD-INT,35-54-328-1-3,13-24-152-2-0
Sacked-Yards,3-22,1-6
Net Pass Yards,306,146
Total Yards,403,230
Fumbles-Lost,1-0,3-2
Turnovers,3,2
Penalties-Yards,9-91,9-62
Third Down Conv.,5-14,3-13
Fourth Down Conv.,1-1,0-0
Time of Possession,32:54,27:06
