Unnamed: 0,SDG,CHI
First Downs,11,19
Rush-Yds-TDs,19-80-1,33-125-2
Cmp-Att-Yd-TD-INT,15-26-119-0-1,21-30-224-0-1
Sacked-Yards,0-0,2-8
Net Pass Yards,119,216
Total Yards,199,341
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,4-24,5-35
Third Down Conv.,2-9,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,24:14,35:46
