Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 61 yards, returned by Tim Dwight for 21 yards (tackle by Joe Odom)",0.000,0.940
1,14:55,1,10,SDG 30,0,0,LaDainian Tomlinson left end for 3 yards (tackle by Jerry Azumah),0.940,0.800
1,14:12,2,7,SDG 33,0,0,LaDainian Tomlinson right tackle for 9 yards (tackle by Bobby Gray),0.800,1.730
1,13:37,1,10,SDG 42,0,0,LaDainian Tomlinson left end for -4 yards (tackle by Lance Briggs),1.730,0.650
1,12:58,2,14,SDG 38,0,0,Drew Brees pass incomplete intended for Reche Caldwell,0.650,-0.030
1,12:53,3,14,SDG 38,0,0,"Drew Brees right guard for 7 yards (tackle by Jerry Azumah). Penalty on Alex Brown: Defensive Offside, 5 yards (no play)",-0.030,0.630
1,12:24,3,9,SDG 43,0,0,Drew Brees pass incomplete intended for David Boston,0.630,-0.520
1,12:19,4,9,SDG 43,0,0,"Darren Bennett punts 36 yards, returned by R.W. McQuarters for 3 yards (tackle by Justin Peelle)",-0.520,-0.540
1,12:10,1,10,CHI 24,0,0,Chris Chandler pass complete to Justin Gage for 24 yards (tackle by Kwamie Lassiter),0.540,2.130
1,11:44,1,10,CHI 48,0,0,Anthony Thomas right guard for 2 yards (tackle by Donnie Edwards and Zeke Moreno),2.130,1.850
1,11:06,2,8,CHI 50,0,0,Chris Chandler pass complete to Dez White for 12 yards (tackle by Sammy Davis),1.850,3.050
1,10:41,1,10,SDG 38,0,0,Anthony Thomas left end for 9 yards (tackle by Quentin Jammer),3.050,3.720
1,10:07,2,1,SDG 29,0,0,Anthony Thomas right tackle for 9 yards (tackle by Adrian Dingle),3.720,4.240
1,9:29,1,10,SDG 20,0,0,Chris Chandler pass incomplete intended for Dez White,4.240,3.690
1,9:24,2,10,SDG 20,0,0,Anthony Thomas left guard for no gain (tackle by Jerry Wilson and Jason Fisk),3.690,3.010
1,8:43,3,10,SDG 20,0,0,Chris Chandler pass incomplete intended for Dez White (defended by Terrence Kiel),3.010,2.120
1,8:38,4,10,SDG 20,0,3,Paul Edinger 38 yard field goal good,2.120,3.000
1,,,,CHI 30,0,3,"Paul Edinger kicks off 56 yards, returned by Tim Dwight for 15 yards (tackle by Bryan Knight)",0.000,0.870
1,8:29,1,10,SDG 29,0,3,LaDainian Tomlinson right tackle for 1 yard (tackle by Bryan Robinson),0.870,0.460
1,7:54,2,9,SDG 30,0,3,Drew Brees pass complete to LaDainian Tomlinson for 10 yards (tackle by Lance Briggs),0.460,1.600
1,7:15,1,10,SDG 40,0,3,LaDainian Tomlinson left guard for 13 yards (tackle by Mike Brown),1.600,2.460
1,6:34,1,10,CHI 47,0,3,Drew Brees pass complete to Jesse Chatman for 9 yards (tackle by Lance Briggs),2.460,3.130
1,5:54,2,1,CHI 38,0,3,Jesse Chatman right tackle for no gain (tackle by Brian Urlacher),3.130,2.410
1,5:08,3,1,CHI 38,0,3,LaDainian Tomlinson right tackle for 3 yards (tackle by Brian Urlacher),2.410,3.250
1,4:33,1,10,CHI 35,0,3,LaDainian Tomlinson right guard for 4 yards (tackle by Jerry Azumah and Bryan Robinson),3.250,3.240
1,4:33,2,6,CHI 31,0,3,"Penalty on SDG: False Start, 5 yards (no play)",3.240,2.570
1,3:32,2,11,CHI 36,0,3,Drew Brees pass complete to David Boston for 10 yards (tackle by Jerry Azumah),2.570,3.200
1,2:54,3,1,CHI 26,0,3,LaDainian Tomlinson right tackle for -2 yards (tackle by Phillip Daniels and Lance Briggs),3.200,1.680
1,2:21,4,3,CHI 28,0,3,Steve Christie 46 yard field goal no good,1.680,-1.330
1,2:15,1,10,CHI 36,0,3,Chris Chandler for 11 yards (tackle by Jerry Wilson),1.330,2.060
1,1:31,1,10,CHI 47,0,3,Anthony Thomas left guard for 1 yard (tackle by Adrian Dingle),2.060,1.650
1,0:48,2,9,CHI 48,0,3,Chris Chandler pass complete to Dez White for 11 yards (tackle by Marcellus Wiley),1.650,2.850
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 41,0,3,Chris Chandler pass complete to Dez White for 6 yards (tackle by Sammy Davis),2.850,3.120
2,14:20,2,4,SDG 35,0,3,Anthony Thomas right tackle for 2 yards (tackle by Ben Leber),3.120,2.680
2,13:37,3,2,SDG 33,0,3,Chris Chandler pass complete to Dez White for 3 yards (tackle by Ben Leber),2.680,3.580
2,12:55,1,10,SDG 30,0,3,Anthony Thomas right guard for -1 yards (tackle by Jerry Wilson),3.580,2.900
2,12:18,2,11,SDG 31,0,3,Chris Chandler pass complete to Bobby Wade for 10 yards (tackle by Terrence Kiel),2.900,3.530
2,11:36,3,1,SDG 21,0,3,Anthony Thomas right guard for 15 yards (tackle by Kwamie Lassiter and Jerry Wilson),3.530,5.830
2,10:50,1,6,SDG 6,0,3,Anthony Thomas left guard for 5 yards (tackle by Kwamie Lassiter),5.830,5.910
2,10:07,2,1,SDG 1,0,3,Anthony Thomas right guard for no gain (tackle by Donnie Edwards),5.910,5.170
2,9:30,3,1,SDG 1,0,9,"Anthony Thomas right tackle for 1 yard, touchdown",5.170,7.000
2,,,,SDG 2,0,10,Paul Edinger kicks extra point good,0.000,0.000
2,,,,CHI 30,0,10,"Paul Edinger kicks off 51 yards, returned by Leon Johnson for 18 yards (tackle by Cameron Worrell)",0.000,1.400
2,9:22,1,10,SDG 37,0,10,LaDainian Tomlinson left end for 3 yards (tackle by Michael Haynes and Warrick Holdman),1.400,1.260
2,8:43,2,7,SDG 40,0,10,Drew Brees pass incomplete intended for David Boston is intercepted by Charles Tillman at CHI-17 and returned for -5 yards (tackle by David Boston),1.260,0.350
2,8:33,1,10,CHI 12,0,10,Chris Chandler pass complete to Justin Gage for 28 yards (tackle by Kwamie Lassiter),-0.350,1.600
2,8:03,1,10,CHI 40,0,10,"Chris Chandler sacked by Raylee Johnson for -4 yards. Chris Chandler fumbles (forced by Raylee Johnson), recovered by Chris Chandler at CHI-37",1.600,0.650
2,7:46,2,13,CHI 37,0,10,"Chris Chandler pass incomplete intended for David Terrell. Penalty on Anthony Thomas: Tripping, 10 yards (no play)",0.650,-0.700
2,7:33,2,23,CHI 27,0,10,Chris Chandler pass complete to David Terrell for 7 yards (tackle by Terrence Kiel),-0.700,-0.430
2,6:51,3,16,CHI 34,0,10,Chris Chandler pass complete to David Terrell for 14 yards (tackle by Donnie Edwards),-0.430,-0.190
2,6:10,4,2,CHI 48,0,10,"Brad Maynard punts 42 yards, returned by Eric Parker for 6 yards (tackle by Ahmad Merritt). Eric Parker fumbles, recovered by Eric Parker at SDG-16",-0.190,0.140
2,6:04,1,10,SDG 16,0,10,LaDainian Tomlinson right tackle for 3 yards (tackle by Alfonso Boone),-0.140,-0.180
2,5:25,2,7,SDG 19,0,10,Drew Brees pass complete to David Boston for 5 yards (tackle by Lance Briggs),-0.180,-0.320
2,4:42,3,2,SDG 24,0,10,LaDainian Tomlinson left guard for 1 yard (tackle by Mike Brown),-0.320,-1.700
2,4:00,4,1,SDG 25,0,10,"Darren Bennett punts 51 yards, returned by R.W. McQuarters for 4 yards (tackle by David Binn). Penalty on Brock Williams: Offensive Holding, 10 yards",-1.700,0.280
2,3:50,1,10,CHI 14,0,10,Anthony Thomas left end for 8 yards (tackle by Zeke Moreno and Sammy Davis),-0.280,0.420
2,3:10,2,2,CHI 22,0,10,Anthony Thomas left guard for 9 yards (tackle by Donnie Edwards),0.420,1.000
2,2:33,1,10,CHI 31,0,10,Chris Chandler pass complete to David Terrell for 4 yards (tackle by Sammy Davis),1.000,1.000
2,2:00,2,6,CHI 35,0,10,Chris Chandler pass incomplete intended for Desmond Clark (defended by Jamal Williams),1.000,0.300
2,1:57,3,6,CHI 35,0,10,Chris Chandler pass incomplete intended for Dez White,0.300,-1.040
2,1:53,4,6,CHI 35,0,10,"Brad Maynard punts 34 yards, returned by Eric Parker for -1 yards (tackle by Joe Odom)",-1.040,-0.940
2,1:44,1,10,SDG 30,0,10,LaDainian Tomlinson left guard for 2 yards (tackle by Lance Briggs),0.940,0.660
