Unnamed: 0,BUF,KAN
First Downs,25,21
Rush-Yds-TDs,28-129-0,27-158-1
Cmp-Att-Yd-TD-INT,21-38-291-3-0,19-30-255-2-0
Sacked-Yards,1-5,1-0
Net Pass Yards,286,255
Total Yards,415,413
Fumbles-Lost,4-2,0-0
Turnovers,2,0
Penalties-Yards,9-91,8-58
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:32,29:28
