Quarter,Time,Tm,Detail,BUF,KAN
1.0,11:53,Bills,Dan Carpenter 27 yard field goal,3,0
,1:04,Bills,Sammy Watkins 28 yard pass from Tyrod Taylor (Dan Carpenter kick),10,0
2.0,6:57,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick),10,7
,2:29,Bills,Sammy Watkins 21 yard pass from Tyrod Taylor (Dan Carpenter kick failed),16,7
,1:48,Chiefs,Jeremy Maclin 41 yard pass from Alex Smith (Cairo Santos kick),16,14
3.0,11:15,Chiefs,Travis Kelce 15 yard pass from Alex Smith (Cairo Santos kick),16,21
,8:07,Chiefs,Cairo Santos 49 yard field goal,16,24
,3:11,Bills,LeSean McCoy 10 yard pass from Tyrod Taylor,22,24
4.0,13:00,Chiefs,Cairo Santos 38 yard field goal,22,27
,3:30,Chiefs,Cairo Santos 37 yard field goal,22,30
