Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 65 yards, returned by Marcus Thigpen for 23 yards (tackle by Steven Nelson)",0.000,-0.480
1,14:54,1,10,BUF 23,0,0,Tyrod Taylor pass complete short middle to Charles Clay for 2 yards (tackle by Derrick Johnson),0.480,0.200
1,14:14,2,8,BUF 25,0,0,LeSean McCoy left end for 12 yards (tackle by Eric Berry),0.200,1.400
1,13:39,1,10,BUF 37,0,0,Tyrod Taylor pass complete deep left to Sammy Watkins for 48 yards (tackle by Eric Berry),1.400,4.580
1,12:51,1,10,KAN 15,0,0,LeSean McCoy left tackle for 6 yards (tackle by Sean Smith),4.580,5.030
1,12:08,2,4,KAN 9,0,0,Tyrod Taylor pass incomplete short right intended for Charles Clay,5.030,4.220
1,12:02,3,4,KAN 9,0,0,Tyrod Taylor pass incomplete short left intended for LeSean McCoy (defended by Derrick Johnson),4.220,2.900
1,11:57,4,4,KAN 9,3,0,Dan Carpenter 27 yard field goal good,2.900,3.000
1,11:57,,,BUF 35,3,0,"Jordan Gay kicks off 73 yards, returned by Knile Davis for 38 yards (tackle by Jordan Gay). Penalty on Demetrius Harris: Offensive Holding, 8 yards",0.000,0.380
1,11:44,1,10,KAN 8,3,0,Alex Smith pass complete short middle to Travis Kelce for 11 yards (tackle by Preston Brown),-0.380,0.150
1,11:05,1,10,KAN 19,3,0,Spencer Ware right guard for 1 yard (tackle by Marcell Dareus),0.150,-0.200
1,10:31,2,9,KAN 20,3,0,Alex Smith pass incomplete,-0.200,-0.940
1,10:24,3,9,KAN 20,3,0,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",-0.940,-0.290
1,10:24,3,4,KAN 25,3,0,Alex Smith pass incomplete short right intended for Jason Avant,-0.290,-1.700
1,10:19,4,4,KAN 25,3,0,Dustin Colquitt punts 41 yards,-1.700,-1.200
1,10:07,1,10,BUF 34,3,0,LeSean McCoy left end for -1 yards (tackle by Josh Mauga),1.200,0.520
1,9:35,2,11,BUF 33,3,0,Tyrod Taylor pass complete short left to LeSean McCoy for 17 yards (tackle by Eric Berry),0.520,2.260
1,8:50,1,10,,3,0,Tyrod Taylor pass incomplete deep right intended for Sammy Watkins,2.260,1.710
1,8:43,2,10,,3,0,Karlos Williams middle for 3 yards (tackle by Derrick Johnson and Tamba Hali),1.710,1.420
1,8:05,3,7,KAN 47,3,0,Tyrod Taylor pass complete short middle to Chris Hogan for 13 yards (tackle by Tyvon Branch),1.420,3.310
1,7:28,1,10,KAN 34,3,0,"LeSean McCoy middle for 3 yards (tackle by Dontari Poe). LeSean McCoy fumbles (forced by Dontari Poe), recovered by Jaye Howard at KAN-25 (tackle by Seantrel Henderson)",3.310,-0.610
1,7:22,1,10,KAN 25,3,0,Alex Smith pass complete short right to Jeremy Maclin for 7 yards (tackle by Ronald Darby),0.610,1.010
1,6:48,2,3,KAN 32,3,0,Spencer Ware left end for -1 yards (tackle by Preston Brown),1.010,0.170
1,6:02,3,4,KAN 31,3,0,Alex Smith pass complete short left to Spencer Ware for 2 yards (tackle by Leodis McKelvin),0.170,-1.180
1,5:28,4,2,KAN 33,3,0,"Dustin Colquitt punts 37 yards, returned by Marcus Thigpen for 5 yards (tackle by Anthony Sherman)",-1.180,-1.270
1,5:19,1,10,BUF 35,3,0,Tyrod Taylor pass incomplete short left intended for Robert Woods,1.270,0.720
1,5:15,2,10,BUF 35,3,0,LeSean McCoy right guard for no gain (tackle by Josh Mauga),0.720,0.040
1,4:33,3,10,BUF 35,3,0,Tyrod Taylor pass complete short left to Sammy Watkins for 14 yards,0.040,2.190
,,,,,,,"KAN challenged the pass completion ruling, and the play was upheld.",,
1,4:08,1,10,BUF 49,3,0,"Penalty on Charles Clay: False Start, 5 yards (no play)",2.190,1.860
