Quarter,Time,Tm,Detail,SDG,DEN
1.0,6:52,Chargers,Eric Weddle 23 yard interception return (Nick Novak kick),7,0
2.0,13:00,Broncos,Demaryius Thomas 13 yard pass from Peyton Manning (Matt Prater kick),7,7
,11:33,Broncos,Matt Prater 19 yard field goal,7,10
,1:44,Broncos,Brandon Stokley 31 yard pass from Peyton Manning (Matt Prater kick),7,17
3.0,12:48,Chargers,"Safety, Peyton Manning sacked by Shaun Phillips in the end zone.",9,17
,7:23,Broncos,Eric Decker 20 yard pass from Peyton Manning (Matt Prater kick),9,24
,0:58,Chargers,Danario Alexander 8 yard pass from Philip Rivers (Nick Novak kick),16,24
4.0,10:43,Broncos,Matt Prater 30 yard field goal,16,27
,4:14,Broncos,Matt Prater 32 yard field goal,16,30
,1:24,Chargers,Danario Alexander 21 yard pass from Philip Rivers (Nick Novak kick),23,30
