Unnamed: 0,SDG,DEN
First Downs,13,21
Rush-Yds-TDs,23-53-0,25-133-0
Cmp-Att-Yd-TD-INT,24-40-258-2-2,25-42-270-3-1
Sacked-Yards,4-34,3-17
Net Pass Yards,224,253
Total Yards,277,386
Fumbles-Lost,3-1,2-1
Turnovers,3,2
Penalties-Yards,10-65,4-30
Third Down Conv.,3-16,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,31:18,28:42
