Unnamed: 0,IND,PHI
First Downs,14,26
Rush-Yds-TDs,13-68-0,35-152-1
Cmp-Att-Yd-TD-INT,25-41-164-1-0,25-37-255-1-1
Sacked-Yards,2-23,5-28
Net Pass Yards,141,227
Total Yards,209,379
Fumbles-Lost,0-0,4-1
Turnovers,0,2
Penalties-Yards,11-77,10-110
Third Down Conv.,2-12,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,19:48,40:12
