Unnamed: 0,TAM,CAR
First Downs,21,16
Rush-Yds-TDs,31-159-2,15-67-0
Cmp-Att-Yd-TD-INT,18-31-232-1-0,22-45-251-0-1
Sacked-Yards,0-0,7-45
Net Pass Yards,232,206
Total Yards,391,273
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,6-50,6-32
Third Down Conv.,7-14,7-18
Fourth Down Conv.,0-0,0-2
Time of Possession,33:24,26:36
