Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Lirim Hajrullahu kicks off 65 yards, touchback.",,
1,15:00,1,10,TAM 25,0,0,Ronald Jones up the middle for 5 yards (tackle by Myles Hartsfield),,
1,14:27,2,5,TAM 30,0,0,Tom Brady pass complete short right to Antonio Brown for 4 yards,,
1,13:45,3,1,TAM 34,0,0,Ronald Jones up the middle for 3 yards (tackle by Morgan Fox and DaQuan Jones),,
1,13:13,1,10,TAM 37,0,0,Ronald Jones up the middle for 4 yards (tackle by Juston Burris and Shaq Thompson),,
1,12:42,2,6,TAM 41,0,0,Tom Brady pass incomplete short left intended for Antonio Brown,,
1,12:36,3,6,TAM 41,0,0,Tom Brady pass incomplete short left intended for Antonio Brown,,
1,12:31,4,6,TAM 41,0,0,"Sterling Hofrichter punts 45 yards, returned by Alex Erickson for 16 yards (tackle by Grant Stuard)",,
1,12:21,1,10,CAR 30,0,0,Cam Newton pass complete short right to Tommy Tremble for 14 yards (tackle by Carlton Davis),,
1,11:46,1,10,CAR 44,0,0,Cam Newton sacked by William Gholston for -6 yards,,
1,11:02,2,16,CAR 38,0,0,Cam Newton pass complete short right to Robbie Anderson for 8 yards (tackle by Jordan Whitehead),,
1,10:17,,,,,,Timeout #1 by Carolina Panthers,,
1,10:17,3,8,CAR 46,0,0,Cam Newton pass complete short left to D.J. Moore for 10 yards (tackle by Jamel Dean),,
1,9:41,1,10,TAM 44,0,0,Cam Newton left guard for 33 yards (tackle by Mike Edwards),,
1,9:02,1,10,TAM 11,0,0,Chuba Hubbard right tackle for 2 yards (tackle by Devin White and Shaquil Barrett),,
1,8:18,2,8,TAM 9,0,0,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,8:06,2,3,TAM 4,0,0,Ameer Abdullah right tackle for -2 yards (tackle by Shaquil Barrett),,
1,7:26,3,5,TAM 6,0,0,Cam Newton pass incomplete short left intended for Ameer Abdullah,,
1,7:21,4,5,TAM 6,0,3,Lirim Hajrullahu 24 yard field goal good,,
1,7:17,,,CAR 35,0,3,"Lirim Hajrullahu kicks off 65 yards, touchback.",,
1,7:17,1,10,TAM 25,0,3,Ronald Jones up the middle for 5 yards (tackle by DaQuan Jones and Jeremy Chinn),,
1,6:42,2,5,TAM 30,0,3,Tom Brady pass complete short left to Ronald Jones for 3 yards (tackle by Jermaine Carter),,
1,5:56,3,2,TAM 33,0,3,Tom Brady pass complete short right to Antonio Brown for 4 yards (tackle by Stephon Gilmore),,
1,5:20,1,10,TAM 37,0,3,"Penalty on Rob Gronkowski: False Start, 5 yards (accepted) (no play)",,
1,5:01,1,15,TAM 32,0,3,Tom Brady pass complete short left to Ronald Jones for 13 yards (tackle by Shaq Thompson),,
1,4:25,2,2,TAM 45,6,3,"Ke'Shawn Vaughn left tackle for 55 yards, touchdown",,
1,4:13,,,CAR 15,7,3,Ryan Succop kicks extra point good,,
1,4:13,,,TAM 35,7,3,"Sterling Hofrichter kicks off 65 yards, touchback.",,
1,4:13,1,10,CAR 25,7,3,Cam Newton pass complete short right to Robbie Anderson for 5 yards (tackle by Kevin Minter and Jordan Whitehead),,
1,3:49,2,5,CAR 30,7,3,Cam Newton right end for 1 yard (tackle by Jordan Whitehead),,
1,3:09,3,4,CAR 31,7,3,Cam Newton pass complete short middle to D.J. Moore for 15 yards (tackle by Sean Murphy-Bunting and Mike Edwards),,
1,2:30,1,10,CAR 46,7,3,Cam Newton pass incomplete short left intended for Robbie Anderson (defended by Sean Murphy-Bunting),,
1,2:25,2,10,CAR 46,7,3,Cam Newton right guard for 6 yards (tackle by Mike Edwards),,
1,1:49,3,4,TAM 48,7,3,Cam Newton pass short left (defended by Shaquil Barrett) intended for Shi Smith is intercepted by Jordan Whitehead at TB-42 and returned for 7 yards (tackle by Shi Smith),,
1,1:41,1,10,TAM 49,7,3,Ronald Jones left guard for no gain (tackle by Marquis Haynes and Frankie Luvu),,
1,1:00,2,10,TAM 49,7,3,"Tom Brady pass complete short right to O.J. Howard for no gain (tackle by Myles Hartsfield). Penalty on Antonio Brown: Offensive Pass Interference, 10 yards (accepted) (no play)",,
1,0:30,2,20,TAM 39,7,3,Tom Brady pass complete short left to Antonio Brown for 7 yards (tackle by Jermaine Carter and Brian Burns),,
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,TAM 46,7,3,Tom Brady pass complete deep left to Antonio Brown for 19 yards (tackle by Stephon Gilmore),,
2,14:19,1,10,CAR 35,7,3,Ronald Jones up the middle for 4 yards (tackle by Derrick Brown and Frankie Luvu),,
2,13:42,2,6,CAR 31,7,3,Ronald Jones up the middle for 4 yards (tackle by DaQuan Jones and Haason Reddick),,
2,13:01,3,2,CAR 27,7,3,Ronald Jones right tackle for 4 yards (tackle by Kenny Robinson),,
2,12:20,1,10,CAR 23,7,3,Ronald Jones right tackle for -2 yards (tackle by Morgan Fox),,
2,11:47,2,12,CAR 25,7,3,Tom Brady pass incomplete deep right intended for Cameron Brate,,
2,11:40,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,11:40,3,12,CAR 25,7,3,Tom Brady pass complete short right to Cameron Brate for 7 yards (tackle by Stephon Gilmore and Shaq Thompson),,
2,10:57,4,5,CAR 18,10,3,Ryan Succop 36 yard field goal good,,
2,10:54,,,TAM 35,10,3,"Sterling Hofrichter kicks off 65 yards, touchback.",,
2,10:54,1,10,CAR 25,10,3,Chuba Hubbard left tackle for 2 yards (tackle by Ndamukong Suh),,
2,10:15,2,8,CAR 27,10,3,Sam Darnold pass complete deep right to Shi Smith for 63 yards (tackle by Jamel Dean),,
2,9:24,,,,,,Timeout #2 by Carolina Panthers,,
2,9:24,1,10,TAM 10,10,3,Cam Newton right tackle for 2 yards (tackle by Devin White),,
2,8:44,2,8,TAM 8,10,3,Cam Newton pass complete short left to Ameer Abdullah for no gain (tackle by Jordan Whitehead and Sean Murphy-Bunting),,
2,8:03,3,8,TAM 8,10,3,Sam Darnold sacked by Shaquil Barrett for -3 yards,,
2,7:25,4,11,TAM 11,10,6,Lirim Hajrullahu 29 yard field goal good,,
2,7:20,,,CAR 35,10,6,"Lirim Hajrullahu kicks off 65 yards, touchback.",,
2,7:20,1,10,TAM 25,10,6,Ronald Jones right tackle for 9 yards (tackle by Haason Reddick),,
2,6:43,2,1,TAM 34,10,6,Tom Brady pass complete short left to Antonio Brown for 1 yard (tackle by Myles Hartsfield),,
2,5:52,1,10,TAM 35,10,6,Ke'Shawn Vaughn right tackle for 1 yard (tackle by Shaq Thompson and Bravvion Roy),,
2,5:16,2,9,TAM 36,10,6,Tom Brady pass complete short left to Antonio Brown for 10 yards (tackle by Myles Hartsfield),,
2,4:35,1,10,TAM 46,10,6,Tom Brady pass complete deep left to Antonio Brown for 22 yards,,
2,3:58,1,10,CAR 32,10,6,"Ronald Jones right guard for no gain (tackle by DaQuan Jones and Haason Reddick). Penalty on Yetur Gross-Matos: Defensive Offside, 5 yards (accepted) (no play)",,
2,3:35,1,5,CAR 27,10,6,Ronald Jones left guard for 2 yards (tackle by Frankie Luvu and Brian Burns),,
2,2:52,2,3,CAR 25,10,6,Tom Brady pass incomplete short right,,
2,2:48,3,3,CAR 25,10,6,Tom Brady pass incomplete short right intended for Cameron Brate,,
2,2:44,4,3,CAR 25,13,6,Ryan Succop 43 yard field goal good,,
2,2:40,,,TAM 35,13,6,"Sterling Hofrichter kicks off 65 yards, touchback.",,
2,2:40,1,10,CAR 25,13,6,Chuba Hubbard right tackle for -2 yards (tackle by Sean Murphy-Bunting and Shaquil Barrett),,
2,2:00,2,12,CAR 23,13,6,Sam Darnold pass complete short right to Ian Thomas for 4 yards (tackle by Jordan Whitehead),,
2,1:53,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:53,3,8,CAR 27,13,6,Sam Darnold pass complete short left to Terrace Marshall for 6 yards (tackle by Sean Murphy-Bunting),,
2,1:48,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,1:48,4,2,CAR 33,13,6,"Lac Edwards punts 40 yards, returned by Kenjon Barner for 4 yards (tackle by Jermaine Carter)",,
2,1:41,1,10,TAM 31,13,6,"Tom Brady pass complete deep right to Cyril Grayson for 62 yards (tackle by Keith Taylor). Penalty on Keith Taylor: Illegal Contact, 5 yards (declined)",,
2,1:33,1,7,CAR 7,13,6,Ke'Shawn Vaughn up the middle for 3 yards (tackle by Kenny Robinson),,
2,1:25,,,,,,Timeout #3 by Carolina Panthers,,
2,1:25,2,4,CAR 4,13,6,Tom Brady pass incomplete short right intended for Ronald Jones,,
2,1:22,3,4,CAR 4,19,6,"Tom Brady pass complete short right to Cameron Brate for 4 yards, touchdown",,
2,1:19,,,CAR 15,19,6,"Penalty on C.J. Henderson: Neutral Zone Infraction, 1 yard (accepted) (no play)",,
2,1:19,1,1,CAR 2,19,6,Two Point Attempt: Tom Brady pass incomplete intended for intended for Tyler Johnson,,
2,1:19,,,TAM 35,19,6,"Sterling Hofrichter kicks off 65 yards, touchback.",,
2,1:19,1,10,CAR 25,19,6,"Sam Darnold pass incomplete short middle intended for Tommy Tremble. Penalty on Jordan Whitehead: Roughing the Passer, 15 yards (accepted) (no play)",,
2,1:15,1,10,CAR 40,19,6,Sam Darnold pass complete short left to Ameer Abdullah for 2 yards (tackle by Kevin Minter),,
2,0:54,2,8,CAR 42,19,6,Sam Darnold pass incomplete short left intended for Robbie Anderson (defended by Jamel Dean),,
2,0:49,3,8,CAR 42,19,6,Sam Darnold pass incomplete short left intended for D.J. Moore (defended by Shaquil Barrett),,
2,0:44,4,8,CAR 42,19,6,"Lac Edwards punts 50 yards, returned by Kenjon Barner for 9 yards (tackle by Giovanni Ricci)",,
2,0:35,1,10,TAM 17,19,6,Ke'Shawn Vaughn left guard for -1 yards (tackle by Shaq Thompson),,
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,19,6,"Sterling Hofrichter kicks off 66 yards, returned by Ameer Abdullah for 25 yards (tackle by Grant Stuard and Cam Gill). Penalty on Sean Chandler: Offensive Holding, 10 yards (accepted)",,
3,14:55,1,10,CAR 14,19,6,Cam Newton pass complete short left to D.J. Moore for 9 yards (tackle by Carlton Davis),,
3,14:19,2,1,CAR 23,19,6,Chuba Hubbard left guard for no gain (tackle by Vita Vea),,
3,13:40,3,1,CAR 23,19,6,Chuba Hubbard right guard for 4 yards (tackle by Jordan Whitehead),,
3,13:11,1,10,CAR 27,19,6,Cam Newton pass incomplete deep right intended for Robbie Anderson,,
3,13:07,2,10,CAR 27,19,6,Cam Newton pass incomplete short left intended for Alex Erickson,,
3,13:04,3,10,CAR 27,19,6,Cam Newton sacked by Anthony Nelson for -8 yards,,
3,12:40,4,19,CAR 19,19,6,"Lac Edwards punts 55 yards, returned by Kenjon Barner for 20 yards (tackle by Tommy Tremble and J.J. Jansen)",,
3,12:30,1,10,TAM 46,19,6,Ronald Jones right end for 3 yards (tackle by Jeremy Chinn),,
3,11:56,2,7,TAM 49,19,6,Tom Brady pass incomplete short left intended for Antonio Brown,,
