#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:01,PIT 19,2,1:06,-4,Interception
2,1,10:55,PIT 30,7,3:21,33,Downs
3,1,1:34,PIT 24,8,4:23,15,Punt
4,2,9:05,PIT 6,12,6:20,70,Field Goal
5,2,1:13,,6,0:56,50,Touchdown
6,3,15:00,PIT 25,8,3:37,39,Missed FG
7,3,11:03,PIT 3,12,7:47,97,Touchdown
8,3,0:18,PIT 47,5,3:17,53,Touchdown
9,4,9:06,PIT 27,3,1:43,-2,Punt
10,4,7:13,MIA 22,4,1:41,-1,Field Goal
11,4,2:57,PIT 35,3,1:07,9,Punt
