Quarter,Time,Tm,Detail,MIA,PIT
1.0,10:55,Dolphins,Albert Wilson 5 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
,1:34,Dolphins,Allen Hurns 12 yard pass from Ryan Fitzpatrick (Jason Sanders kick),14,0
2.0,2:45,Steelers,Chris Boswell 42 yard field goal,14,3
,0:17,Steelers,Diontae Johnson 45 yard pass from Mason Rudolph (Chris Boswell kick),14,10
3.0,3:16,Steelers,JuJu Smith-Schuster 26 yard pass from Mason Rudolph (Chris Boswell kick),14,17
4.0,12:01,Steelers,James Conner 9 yard rush (Chris Boswell kick),14,24
,5:32,Steelers,Chris Boswell 41 yard field goal,14,27
