Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DeVante Parker,MIA,8,6,59,0,3,49,8.2,10,1.7,8.1,0,,0,0.0,0,95.3
Preston Williams,MIA,7,4,42,0,3,36,9.0,6,1.5,13.3,0,,1,14.3,0,74.7
Mark Walton,MIA,6,3,19,0,0,2,0.7,17,5.7,-1.3,0,,1,16.7,0,56.9
Mike Gesicki,MIA,3,2,10,0,,6,3.0,4,2.0,9.3,0,,0,0.0,0,71.5
Jakeem Grant,MIA,3,2,32,0,2,31,15.5,1,0.5,28.0,0,,0,0.0,1,62.5
Kalen Ballage,MIA,1,1,11,0,1,-3,-3.0,14,14.0,-3.0,0,,0,0.0,0,112.5
Michael Deiter,MIA,1,1,0,0,,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2
Allen Hurns,MIA,1,1,12,1,1,6,6.0,6,6.0,6.0,1,1.0,0,0.0,0,156.2
Albert Wilson,MIA,2,1,5,1,1,2,2.0,3,3.0,5.5,0,,0,0.0,0,95.8
Nick O'Leary,MIA,1,0,0,0,,0,,0,,12.0,0,,1,100.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Diontae Johnson,PIT,7,5,84,1,4,41,8.2,43,8.6,12.9,1,5.0,0,0.0,0,151.2
JuJu Smith-Schuster,PIT,9,5,103,1,4,90,18.0,13,2.6,18.3,0,,0,0.0,1,93.5
James Conner,PIT,4,3,5,0,1,-7,-2.3,12,4.0,-2.0,1,3.0,0,0.0,0,77.1
Vance McDonald,PIT,4,3,19,0,1,12,4.0,7,2.3,8.8,0,,0,0.0,0,84.4
Roosevelt Nix,PIT,2,2,4,0,,-5,-2.5,9,4.5,-2.5,0,,0,0.0,0,79.2
Nick Vannett,PIT,2,1,15,0,1,1,1.0,14,14.0,3.5,0,,0,0.0,0,75.0
James Washington,PIT,6,1,21,0,1,19,19.0,2,2.0,22.3,0,,1,16.7,0,41.7
Donte Moncrief,PIT,2,0,0,0,,0,,0,,30.5,0,,0,0.0,0,39.6
