Unnamed: 0,MIA,PIT
First Downs,16,21
Rush-Yds-TDs,19-60-0,29-158-1
Cmp-Att-Yd-TD-INT,21-34-190-2-2,20-36-251-2-1
Sacked-Yards,4-20,2-15
Net Pass Yards,170,236
Total Yards,230,394
Fumbles-Lost,3-2,1-0
Turnovers,4,1
Penalties-Yards,5-45,9-70
Third Down Conv.,3-8,6-13
Fourth Down Conv.,0-2,0-1
Time of Possession,24:42,35:18
