Unnamed: 0,MIN,CHI
First Downs,26,19
Rush-Yds-TDs,33-123-2,28-105-0
Cmp-Att-Yd-TD-INT,26-40-321-2-0,20-35-273-4-1
Sacked-Yards,3-21,2-15
Net Pass Yards,300,258
Total Yards,423,363
Fumbles-Lost,2-2,0-0
Turnovers,2,1
Penalties-Yards,4-47,3-31
Third Down Conv.,5-14,5-14
Fourth Down Conv.,1-1,0-0
Time of Possession,36:25,29:20
