Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 51 yards, returned by Rashied Davis for 9 yards (tackle by Madieu Williams)",0.000,0.810
1,14:55,1,10,CHI 28,0,0,Matt Forte right guard for 3 yards (tackle by Jasper Brinkley),0.810,0.670
1,14:17,2,7,CHI 31,0,0,Jay Cutler pass incomplete short middle intended for Desmond Clark (defended by Ben Leber),0.670,-0.030
1,14:13,3,7,CHI 31,0,0,Jay Cutler pass incomplete short right intended for Earl Bennett (defended by Antoine Winfield),-0.030,-1.310
1,14:09,4,7,CHI 31,0,0,"Brad Maynard punts 43 yards, returned by Darius Reynaud for no gain. Penalty on Asher Allen: Unnecessary Roughness, 13 yards",-1.310,0.320
1,13:57,1,10,MIN 13,0,0,Adrian Peterson right guard for -2 yards (tackle by Tommie Harris),-0.320,-0.930
1,13:19,2,12,MIN 11,0,0,Adrian Peterson right tackle for -1 yards (tackle by Lance Briggs and Anthony Adams),-0.930,-1.770
1,12:42,3,13,MIN 10,0,0,Chester Taylor right tackle for 11 yards (tackle by Hunter Hillenmeyer),-1.770,-1.960
1,12:06,4,2,MIN 21,0,0,"Chris Kluwe punts 39 yards, returned by Earl Bennett for no gain",-1.960,-1.600
1,11:59,1,10,CHI 40,0,0,Matt Forte left end for 1 yard (tackle by Jimmy Kennedy),1.600,1.190
1,11:23,2,9,CHI 41,0,0,Matt Forte left end for 6 yards (tackle by Chad Greenway and Madieu Williams),1.190,1.290
1,10:46,3,3,CHI 47,0,0,Jay Cutler pass complete short right to Desmond Clark for 26 yards (tackle by Antoine Winfield and Chad Greenway),1.290,3.780
1,10:01,1,10,MIN 27,0,0,Matt Forte left end for 8 yards (tackle by Cedric Griffin),3.780,4.350
1,9:31,2,2,MIN 19,0,0,Jay Cutler pass complete short right to Rashied Davis for 9 yards (tackle by Cedric Griffin),4.350,4.910
1,8:51,1,10,MIN 10,0,0,Matt Forte left end for 2 yards (tackle by Ben Leber),4.910,4.570
1,8:13,2,8,MIN 8,0,0,Matt Forte left guard for 4 yards (tackle by Jared Allen),4.570,4.490
1,7:32,3,4,MIN 4,0,0,Jay Cutler pass incomplete short middle intended for Greg Olsen,4.490,3.030
1,7:29,4,4,MIN 4,0,3,Robbie Gould 22 yard field goal good,3.030,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 64 yards, returned by Percy Harvin for 24 yards (tackle by Tim Shaw)",0.000,0.940
1,7:18,1,10,MIN 30,0,3,Chester Taylor left guard for 3 yards (tackle by Tommie Harris and Hunter Hillenmeyer),0.940,0.800
1,6:46,2,7,MIN 33,0,3,Brett Favre pass complete short middle to Sidney Rice for 8 yards (tackle by Hunter Hillenmeyer and Zackary Bowman),0.800,1.660
1,6:07,1,10,MIN 41,0,3,Brett Favre pass complete short right to Sidney Rice for 8 yards (tackle by Danieal Manning),1.660,2.200
1,5:29,2,2,MIN 49,0,3,Brett Favre pass complete short right to Bernard Berrian for 7 yards (tackle by Charles Tillman),2.200,2.650
1,4:54,1,10,CHI 44,0,3,Adrian Peterson for 7 yards (tackle by Charles Tillman),2.650,3.060
1,4:23,2,3,CHI 37,0,3,Brett Favre pass complete short right to Visanthe Shiancoe for 7 yards (tackle by Charles Tillman),3.060,3.580
1,3:40,1,10,CHI 30,0,3,Adrian Peterson right guard for 2 yards (tackle by Alex Brown and Israel Idonije),3.580,3.300
1,3:00,2,8,CHI 28,0,3,"Brett Favre pass complete short right to Adrian Peterson for 12 yards (tackle by Charles Tillman). Penalty on Percy Harvin: Illegal Formation, 5 yards (no play)",3.300,2.630
1,2:32,2,13,CHI 33,0,3,Brett Favre pass incomplete short middle intended for Naufahu Tahi,2.630,1.950
1,2:22,3,13,CHI 33,0,3,"Brett Favre sacked for -9 yards. Brett Favre fumbles, recovered by Tommie Harris at CHI-40 (tackle by Brett Favre)",1.950,-1.600
1,2:17,1,10,CHI 40,0,3,Matt Forte right guard for 4 yards (tackle by Jasper Brinkley),1.600,1.590
1,1:47,2,6,CHI 44,0,3,Jay Cutler pass complete short left to Greg Olsen for 16 yards (tackle by Ben Leber),1.590,2.920
1,1:10,1,10,MIN 40,0,3,Matt Forte left tackle for -1 yards (tackle by Jimmy Kennedy),2.920,2.240
1,0:35,2,11,MIN 41,0,3,Jay Cutler left end for 8 yards (tackle by Jimmy Kennedy),2.240,2.610
Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,MIN 33,0,3,Matt Forte right end for 5 yards (tackle by Madieu Williams),2.610,3.710
2,14:31,1,10,MIN 28,0,3,Jay Cutler pass incomplete short right intended for Greg Olsen,3.710,3.170
2,14:27,2,10,MIN 28,0,3,Jay Cutler pass complete short right to Desmond Clark for 4 yards (tackle by Jasper Brinkley),3.170,3.010
2,13:31,3,6,MIN 24,0,3,Jay Cutler pass incomplete short left intended for Greg Olsen,3.010,1.890
2,13:28,4,6,MIN 24,0,6,Robbie Gould 42 yard field goal good,1.890,3.000
2,,,,CHI 30,0,6,"Robbie Gould kicks off 68 yards, returned by Percy Harvin for 22 yards (tackle by Jamar Williams)",0.000,0.540
2,13:17,1,10,MIN 24,0,6,Adrian Peterson left end for 2 yards (tackle by Alex Brown),0.540,0.270
2,12:34,2,8,MIN 26,0,6,Adrian Peterson left guard for 7 yards (tackle by Josh Bullocks and Charles Tillman),0.270,0.500
2,11:57,3,1,MIN 33,0,6,Chester Taylor left guard for 9 yards (tackle by Hunter Hillenmeyer),0.500,1.730
2,11:12,1,10,MIN 42,0,6,Brett Favre pass complete short right to Chester Taylor for 6 yards (tackle by Anthony Adams),1.730,2.000
2,10:30,2,4,MIN 48,0,6,Chester Taylor left guard for 2 yards (tackle by Hunter Hillenmeyer and Anthony Adams),2.000,1.550
2,9:47,3,2,,0,6,Chester Taylor right end for no gain (tackle by Israel Idonije),1.550,-0.060
2,9:14,4,2,,0,6,Chris Kluwe punts 16 yards,-0.060,-1.200
2,9:08,1,10,CHI 34,0,6,Kahlil Bell left tackle for 6 yards (tackle by Antoine Winfield and Chad Greenway),1.200,1.470
2,8:40,2,4,CHI 40,0,6,Kahlil Bell left end for 7 yards (tackle by Cedric Griffin),1.470,2.060
2,8:22,1,10,CHI 47,0,6,Jay Cutler pass complete short right to Greg Olsen for 24 yards (tackle by Antoine Winfield),2.060,3.640
2,7:35,1,10,MIN 29,0,6,Jay Cutler pass incomplete short middle intended for Desmond Clark (defended by Ben Leber),3.640,3.100
