Unnamed: 0,NYG,ARI
First Downs,26,24
Rush-Yds-TDs,27-127-2,29-151-2
Cmp-Att-Yd-TD-INT,26-37-321-2-1,21-31-228-1-0
Sacked-Yards,3-9,0-0
Net Pass Yards,312,228
Total Yards,439,379
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,9-75,8-57
Third Down Conv.,7-12,4-10
Fourth Down Conv.,1-1,0-0
Time of Possession,29:23,30:37
