Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,James Conner up the middle for 17 yards (tackle by Jason Pinnock),0.610,1.730
1,14:25,1,10,ARI 42,0,0,Joshua Dobbs pass complete short right to Zach Ertz for 5 yards (tackle by Xavier McKinney),1.730,1.860
1,13:44,2,5,ARI 47,0,0,Joshua Dobbs pass complete short right to Marquise Brown for 12 yards (tackle by Adoree' Jackson),1.860,2.850
1,13:06,1,10,NYG 41,0,0,James Conner left tackle for 4 yards (tackle by Jason Pinnock),2.850,2.850
1,12:28,2,6,NYG 37,0,0,Joshua Dobbs pass incomplete deep left intended for Zach Ertz,2.850,2.150
1,12:21,3,6,NYG 37,0,0,Joshua Dobbs pass incomplete short left intended for Marquise Brown,2.150,0.790
1,12:17,4,6,NYG 37,0,0,Matt Prater 55 yard field goal no good,0.790,-1.930
1,12:12,1,10,NYG 45,0,0,"Penalty on Joshua Ezeudu: False Start, 5 yards (accepted)",1.930,1.600
1,12:12,1,15,NYG 40,0,0,Daniel Jones pass complete short left to Isaiah Hodgins for 7 yards (tackle by Kei'Trel Clark),1.600,1.650
1,11:37,2,8,NYG 47,0,0,Daniel Jones pass complete short right to Saquon Barkley for 6 yards (tackle by Kyzir White),1.650,1.750
1,11:02,3,2,ARI 47,0,0,Daniel Jones pass incomplete short right intended for Darius Slayton,1.750,0.130
1,10:59,4,2,ARI 47,0,0,"Jamie Gillan punts 33 yards, fair catch by Greg Dortch at ARI-14",0.130,0.280
1,10:52,1,10,ARI 14,0,0,"Joshua Dobbs right end for 13 yards (tackle by Xavier McKinney). Penalty on Xavier McKinney: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.280,1.730
1,10:23,1,10,ARI 42,0,0,Joshua Dobbs pass complete short right to Zach Ertz for 9 yards (tackle by Micah McFadden),1.730,2.400
1,9:51,2,1,NYG 49,0,0,James Conner up the middle for 7 yards (tackle by Micah McFadden),2.400,2.790
1,9:12,1,10,NYG 42,0,0,Joshua Dobbs pass incomplete short middle intended for Marquise Brown,2.790,2.240
1,9:06,2,10,NYG 42,0,0,James Conner up the middle for 3 yards (tackle by Bobby Okereke and A'Shawn Robinson),2.240,1.950
1,8:25,3,7,NYG 39,0,0,Joshua Dobbs pass complete deep left to Michael Wilson for 21 yards (tackle by Jason Pinnock),1.950,4.370
1,7:52,1,10,NYG 18,0,0,"Penalty on NYG: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.370,5.410
1,7:32,1,5,NYG 13,0,0,James Conner up the middle for -1 yards (tackle by Jason Pinnock),5.410,4.430
1,6:53,2,6,NYG 14,0,0,Joshua Dobbs pass complete short left to Marquise Brown for 10 yards (tackle by Jason Pinnock),4.430,6.280
1,6:15,1,4,NYG 4,0,6,"James Conner up the middle for 4 yards, touchdown",6.280,7.000
1,6:11,,,NYG 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,6:11,,,ARI 35,0,7,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,6:11,1,10,NYG 25,0,7,Saquon Barkley left tackle for 2 yards (tackle by Carlos Watkins),0.610,0.330
1,5:38,2,8,NYG 27,0,7,Daniel Jones pass complete short left to Isaiah Hodgins for 12 yards (tackle by K'Von Wallace),0.330,1.530
1,5:15,1,10,NYG 39,0,7,Saquon Barkley up the middle for 4 yards (tackle by Kevin Strong),1.530,1.530
1,4:41,2,6,NYG 43,0,7,Saquon Barkley up the middle for 2 yards (tackle by Krys Barnes),1.530,1.090
1,4:06,3,4,NYG 45,0,7,Daniel Jones sacked by Dennis Gardeck for -1 yards,1.090,-0.460
1,3:28,4,5,NYG 44,0,7,"Jamie Gillan punts 36 yards, fair catch by Greg Dortch at ARI-20",-0.460,-0.280
1,3:18,1,10,ARI 20,0,7,Joshua Dobbs pass complete deep left to Trey McBride for 23 yards (tackle by Jason Pinnock),0.280,1.800
1,2:42,1,10,ARI 43,0,7,Keaontay Ingram up the middle for 1 yard (tackle by Dexter Lawrence),1.800,1.390
1,2:05,2,9,ARI 44,0,7,Joshua Dobbs pass complete short right to Zach Ertz for 14 yards (tackle by Deonte Banks),1.390,2.790
1,1:23,1,10,NYG 42,0,7,Joshua Dobbs pass incomplete short left intended for Zach Ertz,2.790,2.240
1,1:19,2,10,NYG 42,0,7,Keaontay Ingram left tackle for 5 yards (tackle by Micah McFadden),2.240,2.210
1,0:39,3,5,NYG 37,0,7,"Joshua Dobbs pass complete short right to Rondale Moore for 14 yards (tackle by Adoree' Jackson) NYG challenged the pass completion ruling, and the play was upheld.",2.210,4.040
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 23,0,13,"Joshua Dobbs up the middle for 23 yards, touchdown",4.040,7.000
2,14:51,,,NYG 15,0,14,Matt Prater kicks extra point good,0.000,0.000
