Unnamed: 0,BAL,MIA
First Downs,26,16
Rush-Yds-TDs,31-183-2,16-63-0
Cmp-Att-Yd-TD-INT,25-33-269-2-1,23-33-227-1-0
Sacked-Yards,1-5,6-41
Net Pass Yards,264,186
Total Yards,447,249
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,7-36,6-30
Third Down Conv.,5-12,4-12
Fourth Down Conv.,1-1,0-1
Time of Possession,30:18,29:42
