Unnamed: 0,NYG,BUF
First Downs,17,16
Rush-Yds-TDs,47-289-3,28-117-1
Cmp-Att-Yd-TD-INT,7-15-111-0-2,9-26-161-2-3
Sacked-Yards,2-17,3-34
Net Pass Yards,94,127
Total Yards,383,244
Fumbles-Lost,5-2,4-1
Turnovers,4,4
Penalties-Yards,4-25,6-45
Third Down Conv.,6-14,1-9
Fourth Down Conv.,0-2,0-1
Time of Possession,34:05,25:55
