Quarter,Time,Down,ToGo,Location,NYG,BUF,Detail,EPB,EPA
1,7:49,2,7,BUF 37,0,7,Trent Edwards pass complete short right to Marshawn Lynch for 12 yards (tackle by Antonio Pierce),1.060,2.190
1,7:08,1,10,BUF 49,0,7,Trent Edwards pass incomplete short middle intended for Josh Reed,2.190,1.650
1,7:04,2,10,BUF 49,0,7,Fred Jackson left tackle for 5 yards (tackle by Osi Umenyiora and Kawika Mitchell),1.650,1.620
1,6:25,3,5,NYG 46,0,7,Trent Edwards pass complete deep right to Roscoe Parrish for 42 yards (tackle by Corey Webster),1.620,6.280
1,5:37,1,4,NYG 4,0,13,"Trent Edwards pass complete short right to Lee Evans for 4 yards, touchdown",6.280,7.000
1,,,,NYG 2,0,14,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,0,14,"Rian Lindell kicks off 64 yards, returned by Ahmad Bradshaw for 24 yards (tackle by Dustin Fox)",0.000,0.940
1,5:25,1,10,NYG 30,0,14,Eli Manning pass incomplete short left intended for Brandon Jacobs,0.940,0.390
1,5:21,2,10,NYG 30,0,14,Brandon Jacobs right tackle for no gain (tackle by Angelo Crowell),0.390,-0.300
1,4:37,3,10,NYG 30,0,14,Eli Manning pass complete deep right to Amani Toomer for 39 yards (tackle by Jim Leonhard),-0.300,3.510
,,,,,,,"BUF challenged the runner was down by contact ruling, and the original play was overturned.",,
1,3:48,1,10,BUF 31,0,14,Eli Manning pass incomplete deep left intended for Plaxico Burress,3.510,2.970
1,3:41,2,10,BUF 31,0,14,Brandon Jacobs left end for 1 yard (tackle by Bryan Scott),2.970,2.410
1,2:56,3,9,BUF 30,0,14,"Eli Manning sacked for -7 yards. Eli Manning fumbles, recovered by Eli Manning at BUF-37",2.410,0.790
1,2:26,4,16,BUF 37,0,14,Jeff Feagles punts 33 yards. Penalty on BUF: Defensive Offside (Declined),0.790,0.380
1,2:17,1,10,BUF 4,0,14,"Marshawn Lynch left tackle for 1 yard (tackle by Aaron Ross). Penalty on Jay Alford: Defensive Offside, 5 yards (no play)",-0.380,-0.190
1,1:56,1,5,BUF 9,0,14,Marshawn Lynch right guard for 4 yards (tackle by Aaron Ross and Justin Tuck),-0.190,-0.120
1,1:15,2,1,BUF 13,0,14,"Penalty on Antonio Pierce: Defensive Offside, 5 yards (no play)",-0.120,0.040
1,0:56,1,10,BUF 18,0,14,Marshawn Lynch right tackle for -1 yards (tackle by Antonio Pierce),0.040,-0.650
1,0:15,2,11,BUF 17,0,14,Trent Edwards pass complete short right to Michael Gaines for 20 yards (tackle by Gibril Wilson),-0.650,1.400
Quarter,Time,Down,ToGo,Location,NYG,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 37,0,14,Marshawn Lynch left guard for 4 yards (tackle by Antonio Pierce and Kawika Mitchell),1.400,1.400
2,14:25,2,6,BUF 41,0,14,Marshawn Lynch left guard for 1 yard (tackle by Justin Tuck),1.400,0.830
2,13:50,3,5,BUF 42,0,14,Trent Edwards pass incomplete intended for Josh Reed (defended by Gibril Wilson),0.830,-0.590
2,13:46,4,5,BUF 42,0,14,"Penalty on Josh Stamer: False Start, 5 yards (no play)",-0.590,-0.910
2,13:46,4,10,BUF 37,0,14,"Brian Moorman for 3 yards. Brian Moorman fumbles (forced by Ahmad Bradshaw), recovered by Chase Blackburn at BUF-23 (tackle by Blake Costanzo)",-0.910,-4.040
2,13:36,1,10,BUF 23,0,14,Brandon Jacobs right guard for 6 yards (tackle by Bryan Scott and John McCargo),4.040,4.380
2,12:57,2,4,BUF 17,0,14,"Brandon Jacobs for -1 yards (tackle by Donte Whitner and John McCargo). Eli Manning fumbles, recovered by Eli Manning at BUF-18",4.380,3.340
2,12:18,3,6,BUF 19,0,14,Eli Manning pass complete short right to Amani Toomer for 13 yards (tackle by Terrence McGee),3.340,5.830
2,11:47,1,6,BUF 6,0,14,Eli Manning pass incomplete short right intended for Plaxico Burress,5.830,4.950
2,11:42,2,6,BUF 6,6,14,"Brandon Jacobs right guard for 6 yards, touchdown",4.950,7.000
2,,,,BUF 2,7,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,7,14,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
2,11:38,1,10,BUF 20,7,14,Marshawn Lynch left guard for no gain (tackle by Gibril Wilson and Antonio Pierce),0.280,-0.270
2,10:59,2,10,BUF 20,7,14,Trent Edwards pass incomplete short right intended for Michael Gaines,-0.270,-0.960
2,10:54,3,10,BUF 20,7,14,"Trent Edwards pass complete short middle to Fred Jackson for 9 yards (tackle by Justin Tuck). Penalty on Osi Umenyiora: Defensive Offside, 5 yards (no play)",-0.960,-0.300
2,10:31,3,5,BUF 25,7,14,Trent Edwards pass incomplete short middle intended for Lee Evans,-0.300,-1.700
2,10:27,4,5,BUF 25,7,14,Brian Moorman punts 32 yards,-1.700,-1.800
2,10:19,1,10,NYG 43,7,14,Brandon Jacobs left tackle for 2 yards (tackle by Donte Whitner),1.800,1.520
2,9:44,2,8,NYG 45,7,14,Eli Manning pass incomplete short middle intended for Plaxico Burress,1.520,0.830
2,9:38,3,8,NYG 45,7,14,"Eli Manning for no gain. Eli Manning fumbles, recovered by Eli Manning at NYG-42",0.830,-0.590
2,8:52,4,11,NYG 42,7,14,"Jeff Feagles punts 50 yards, returned by Roscoe Parrish for 11 yards (tackle by Zak DeOssie). Penalty on Donte Whitner: Roughing the Kicker, 15 yards (no play)",-0.590,2.720
2,8:41,1,10,BUF 43,13,14,"Brandon Jacobs right tackle for 43 yards, touchdown",2.720,7.000
2,,,,BUF 2,14,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,14,14,"Lawrence Tynes kicks off 75 yards, touchback",0.000,0.280
2,8:32,1,10,BUF 20,14,14,Fred Jackson left tackle for 1 yard (tackle by Reggie Torbor),0.280,-0.130
2,7:54,2,9,BUF 21,14,14,Trent Edwards sacked by Kawika Mitchell for -11 yards,-0.130,-2.590
2,7:21,3,20,BUF 10,14,14,"Penalty on Kirk Chambers: False Start, 5 yards (no play)",-2.590,-3.180
2,7:08,3,25,BUF 5,14,14,Trent Edwards pass incomplete short right intended for Fred Jackson,-3.180,-2.490
2,7:02,4,25,BUF 5,14,14,"Brian Moorman punts 52 yards, returned by R.W. McQuarters for 1 yard (tackle by John Wendling)",-2.490,-1.860
2,6:51,1,10,NYG 44,14,14,Brandon Jacobs right guard for 3 yards (tackle by Aaron Schobel),1.860,1.720
2,6:15,2,7,NYG 47,14,14,Brandon Jacobs right guard for 2 yards (tackle by Keith Ellison),1.720,1.290
2,5:32,3,5,NYG 49,14,14,Eli Manning pass complete short left to Amani Toomer for 19 yards (tackle by Jabari Greer),1.290,3.450
2,4:43,1,10,BUF 32,14,14,Brandon Jacobs right tackle for -1 yards (tackle by John DiGiorgio and Larry Tripplett),3.450,2.770
2,4:04,2,11,BUF 33,14,14,Brandon Jacobs right guard for 3 yards (tackle by Aaron Schobel),2.770,2.480
2,3:25,3,8,BUF 30,14,14,Eli Manning pass complete short right to Brandon Jacobs for 6 yards (tackle by Aaron Schobel),2.480,1.990
2,2:40,4,2,BUF 24,17,14,Lawrence Tynes 42 yard field goal good,1.990,3.000
2,,,,NYG 30,17,14,"Lawrence Tynes kicks off 60 yards, returned by Terrence McGee for 23 yards (tackle by Craig Dahl)",0.000,1.140
2,2:29,1,10,BUF 33,17,14,Trent Edwards pass incomplete short right intended for Robert Royal (defended by James Butler),1.140,0.590
2,2:24,2,10,BUF 33,17,14,Trent Edwards pass complete short left to Josh Reed for 11 yards (tackle by Aaron Ross),0.590,1.860
2,2:00,1,10,BUF 44,17,14,"Trent Edwards sacked by Osi Umenyiora for -7 yards. Trent Edwards fumbles (forced by Osi Umenyiora), recovered by Derrick Dockery at BUF-34",1.860,-0.030
2,1:40,2,20,BUF 34,17,14,Trent Edwards pass incomplete short right intended for Josh Reed,-0.030,-0.690
2,1:36,3,20,BUF 34,17,14,Trent Edwards right end for 8 yards (tackle by Kawika Mitchell),-0.690,-0.590
2,1:26,,,,17,14,Timeout #1 by New York Giants,0.000,-0.590
2,1:26,4,12,BUF 42,17,14,"Brian Moorman punts 31 yards, returned by Ahmad Bradshaw for 1 yard (tackle by Justin Jenkins)",-0.590,-0.810
2,1:18,1,10,NYG 28,17,14,Brandon Jacobs up the middle for 6 yards (tackle by Larry Tripplett),0.810,1.070
2,0:55,2,4,NYG 34,17,14,Eli Manning pass complete short middle to Amani Toomer for 16 yards (tackle by Jim Leonhard),1.070,2.260
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:38,1,10,,17,14,Eli Manning pass incomplete deep middle intended for Steve Smith,2.260,1.710
2,0:26,2,10,,17,14,Brandon Jacobs up the middle for 7 yards (tackle by John DiGiorgio and Angelo Crowell),1.710,1.950
2,0:21,,,,17,14,Timeout #2 by New York Giants,0.000,1.950
2,0:21,3,3,BUF 43,17,14,"Penalty on Aaron Schobel: Encroachment, 5 yards (no play)",1.950,3.050
2,0:21,1,10,BUF 38,17,14,Eli Manning pass complete short right to Amani Toomer for 12 yards (tackle by Donte Whitner),3.050,3.840
2,0:10,,,,17,14,Timeout #3 by New York Giants,0.000,3.840
2,0:10,1,10,BUF 26,17,14,"Eli Manning sacked by Aaron Schobel for -8 yards. Eli Manning fumbles (forced by Aaron Schobel), recovered by Aaron Schobel at BUF-36",3.840,-1.330
2,0:02,1,10,BUF 36,17,14,Trent Edwards kneels for -1 yards,1.330,0.660
Quarter,Time,Down,ToGo,Location,NYG,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,17,14,"Rian Lindell kicks off 71 yards, returned by Ahmad Bradshaw for 20 yards (tackle by Dustin Fox)",0.000,0.150
3,14:54,1,10,NYG 19,17,14,Eli Manning pass incomplete deep left intended for Plaxico Burress is intercepted by Keith Ellison at NYG-35 and returned for 4 yards (tackle by Madison Hedgecock),0.150,-3.510
3,14:45,1,10,NYG 31,17,14,Marshawn Lynch right tackle for 28 yards (tackle by James Butler),3.510,6.510
3,13:58,1,3,NYG 3,17,20,"Marshawn Lynch right tackle for 3 yards, touchdown",6.510,7.000
3,,,,NYG 2,17,21,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,17,21,"Rian Lindell kicks off 71 yards, returned by Ahmad Bradshaw for 36 yards (tackle by Leon Joe)",0.000,1.270
3,13:46,1,10,NYG 35,17,21,"Penalty on Kyle Williams: Encroachment, 5 yards (no play)",1.270,2.000
3,13:46,1,5,NYG 40,17,21,Brandon Jacobs right guard for no gain (tackle by Chris Kelsay and Bryan Scott),2.000,1.400
3,13:12,2,5,NYG 40,17,21,Eli Manning pass complete short right to Plaxico Burress for 6 yards (tackle by Keith Ellison),1.400,1.990
3,12:38,1,10,NYG 46,17,21,Brandon Jacobs right guard for 8 yards (tackle by John DiGiorgio and Bryan Scott),1.990,2.530
3,12:02,2,2,BUF 46,17,21,Brandon Jacobs left tackle for 15 yards (tackle by Donte Whitner),2.530,3.510
3,11:20,1,10,BUF 31,17,21,Brandon Jacobs right tackle for 5 yards (tackle by Kyle Williams),3.510,3.640
3,10:38,2,5,BUF 26,17,21,Ahmad Bradshaw right guard for 15 yards (tackle by Angelo Crowell),3.640,4.840
3,9:54,1,10,BUF 11,17,21,Ahmad Bradshaw right guard for 3 yards (tackle by Chris Kelsay),4.840,4.700
3,9:14,2,7,BUF 8,17,21,"Eli Manning pass incomplete short right intended for Plaxico Burress. Penalty on Plaxico Burress: Offensive Pass Interference, 10 yards (no play)",4.700,3.230
3,9:08,2,17,BUF 18,17,21,Ahmad Bradshaw right guard for 11 yards (tackle by Angelo Crowell),3.230,3.980
3,8:23,3,6,BUF 7,17,21,Ahmad Bradshaw up the middle for 6 yards (tackle by John DiGiorgio),3.980,6.970
3,7:39,1,1,BUF 1,17,21,Reuben Droughns up the middle for no gain (tackle by Aaron Schobel),6.970,5.910
3,7:02,2,1,BUF 1,17,21,Reuben Droughns left tackle for -1 yards (tackle by Mario Haggan),5.910,4.950
3,6:15,3,2,BUF 2,17,21,Ahmad Bradshaw right guard for 1 yard (tackle by Bryan Scott),4.950,3.550
3,5:40,,,,17,21,Timeout #1 by Buffalo Bills,0.000,3.550
3,5:40,4,1,BUF 1,17,21,Reuben Droughns right tackle for -4 yards (tackle by John McCargo),3.550,0.380
3,5:37,1,10,BUF 5,17,21,Marshawn Lynch right guard for no gain (tackle by Reggie Torbor and Justin Tuck),-0.380,-0.780
3,5:00,2,10,BUF 5,17,21,Trent Edwards pass incomplete short right intended for Michael Gaines,-0.780,-1.420
3,4:57,3,10,BUF 5,17,21,Marshawn Lynch right tackle for 4 yards (tackle by Osi Umenyiora),-1.420,-2.490
3,4:16,4,6,BUF 9,17,21,"Brian Moorman punts 45 yards, returned by R.W. McQuarters for 9 yards (tackle by Ryan Neill)",-2.490,-2.590
3,4:05,1,10,BUF 45,17,21,Brandon Jacobs right guard for 12 yards (tackle by Donte Whitner),2.590,3.380
3,3:28,1,10,BUF 33,17,21,Brandon Jacobs up the middle for 4 yards (tackle by Bryan Scott),3.380,3.380
3,2:45,,,,17,21,Timeout #1 by New York Giants,0.000,3.380
3,2:45,2,6,BUF 29,17,21,Brandon Jacobs right guard for 4 yards (tackle by Angelo Crowell),3.380,3.200
3,2:05,3,2,BUF 25,17,21,Brandon Jacobs right end for 5 yards (tackle by Terrence McGee),3.200,4.240
3,1:17,1,10,BUF 20,17,21,Brandon Jacobs left guard for 9 yards (tackle by John DiGiorgio),4.240,5.260
3,0:34,2,1,BUF 11,17,21,Brandon Jacobs right end for no gain (tackle by John DiGiorgio),5.260,4.590
Quarter,Time,Down,ToGo,Location,NYG,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,,17,21,Timeout #2 by New York Giants,0.000,4.590
4,15:00,3,1,BUF 11,17,21,"Eli Manning for no gain. Eli Manning fumbles, recovered by Larry Tripplett at BUF-12",4.590,0.350
4,14:47,1,10,BUF 12,17,21,Marshawn Lynch right tackle for -1 yards (tackle by Antonio Pierce and Gibril Wilson),-0.350,-0.850
4,14:12,2,11,BUF 11,23,21,"Trent Edwards pass incomplete short left intended for Lee Evans is intercepted by Kawika Mitchell at BUF-20 and returned for 20 yards, touchdown",-0.850,-7.000
4,,,,BUF 2,24,21,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,24,21,"Lawrence Tynes kicks off 77 yards, touchback",0.000,0.280
4,14:05,1,10,BUF 20,24,21,Trent Edwards pass complete deep left to Lee Evans for 18 yards (tackle by Gibril Wilson),0.280,1.470
4,13:28,1,10,BUF 38,24,21,Marshawn Lynch left tackle for 13 yards (tackle by James Butler),1.470,2.320
4,12:59,1,10,NYG 49,24,21,Marshawn Lynch left end for -4 yards (tackle by Sam Madison),2.320,1.240
4,12:28,2,14,BUF 47,24,21,Trent Edwards pass incomplete short left intended for Marshawn Lynch,1.240,0.560
4,12:23,3,14,BUF 47,24,21,Trent Edwards pass incomplete short right intended for Josh Reed (defended by James Butler),0.560,-0.260
4,12:18,4,14,BUF 47,24,21,Brian Moorman punts 34 yards,-0.260,-0.150
4,12:05,1,10,NYG 19,24,21,Ahmad Bradshaw right tackle for 5 yards (tackle by Donte Whitner),0.150,0.340
4,11:22,2,5,NYG 24,24,21,Ahmad Bradshaw right guard for 4 yards (tackle by John DiGiorgio),0.340,0.100
4,10:41,3,1,NYG 28,24,21,Ahmad Bradshaw right end for -1 yards (tackle by John DiGiorgio and Keith Ellison),0.100,-1.570
4,9:57,4,2,NYG 27,24,21,Jeff Feagles punts 36 yards,-1.570,-1.400
4,9:49,1,10,BUF 37,24,21,Trent Edwards pass incomplete short middle intended for Roscoe Parrish (defended by James Butler),1.400,0.860
4,9:44,2,10,BUF 37,24,21,Trent Edwards pass incomplete short right intended for Josh Reed,0.860,0.170
4,9:39,3,10,BUF 37,24,21,"Trent Edwards sacked by Kawika Mitchell for -8 yards. Trent Edwards fumbles (forced by Kawika Mitchell), recovered by Fred Jackson at BUF-24",0.170,-1.770
4,8:58,4,23,BUF 24,24,21,"Brian Moorman punts 32 yards, returned by R.W. McQuarters for no gain",-1.770,-1.860
4,8:50,1,10,NYG 44,24,21,Ahmad Bradshaw left tackle for -1 yards (tackle by Larry Tripplett and Chris Kelsay),1.860,1.180
4,8:10,2,11,NYG 43,24,21,Eli Manning pass incomplete short right intended for Amani Toomer is intercepted by Terrence McGee at NYG-49 and returned for 1 yard (tackle by Amani Toomer),1.180,-2.390
4,8:01,1,10,NYG 48,24,21,Marshawn Lynch right tackle for 5 yards (tackle by Aaron Ross),2.390,2.520
4,7:21,2,5,NYG 43,24,21,Marshawn Lynch right tackle for -6 yards (tackle by Antonio Pierce and Reggie Torbor),2.520,1.030
4,6:41,3,11,NYG 49,24,21,Trent Edwards pass incomplete short left intended for Roscoe Parrish,1.030,0.000
4,6:37,4,11,NYG 49,24,21,"Brian Moorman punts 39 yards, returned by R.W. McQuarters for 2 yards (tackle by John Wendling)",0.000,0.350
4,6:27,1,10,NYG 12,30,21,"Ahmad Bradshaw right guard for 88 yards, touchdown",-0.350,7.000
4,,,,BUF 2,31,21,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,31,21,"Lawrence Tynes kicks off 66 yards, returned by Roscoe Parrish for 18 yards (tackle by Zak DeOssie)",0.000,0.410
4,6:07,1,10,BUF 22,31,21,Trent Edwards pass incomplete short left intended for Lee Evans,0.410,-0.130
4,6:02,2,10,BUF 22,37,21,"Trent Edwards pass incomplete short right intended for Josh Reed is intercepted by Corey Webster at BUF-34 and returned for 34 yards, touchdown",-0.130,-7.000
4,,,,BUF 2,38,21,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,38,21,"Lawrence Tynes kicks off 70 yards, returned by Roscoe Parrish for 24 yards (tackle by Reggie Torbor)",0.000,0.540
4,5:44,1,10,BUF 24,38,21,Fred Jackson left guard for 19 yards (tackle by James Butler),0.540,1.800
4,5:14,1,10,BUF 43,38,21,Fred Jackson left guard for 6 yards (tackle by Gibril Wilson and Corey Webster),1.800,2.060
4,4:48,2,4,BUF 49,38,21,Trent Edwards pass incomplete short left intended for Roscoe Parrish is intercepted by Sam Madison at NYG-40 and returned for 27 yards (tackle by Lee Evans),2.060,-3.380
4,4:37,1,10,BUF 33,38,21,Ahmad Bradshaw left guard for 5 yards (tackle by John McCargo),3.380,3.510
4,3:50,2,5,BUF 28,38,21,Ahmad Bradshaw left tackle for 3 yards (tackle by Kyle Williams and Angelo Crowell),3.510,3.200
4,3:39,,,,38,21,Timeout #2 by Buffalo Bills,0.000,3.200
4,3:39,3,2,BUF 25,38,21,Ahmad Bradshaw left tackle for 6 yards (tackle by John DiGiorgio),3.200,4.310
4,2:49,1,10,BUF 19,38,21,Ahmad Bradshaw left tackle for 3 yards (tackle by John DiGiorgio),4.310,4.180
4,2:38,,,,38,21,Timeout #3 by Buffalo Bills,0.000,4.180
4,2:38,2,7,BUF 16,38,21,Ahmad Bradshaw left tackle for -4 yards (tackle by Mario Haggan),4.180,2.940
4,2:00,3,11,BUF 20,38,21,Ahmad Bradshaw right tackle for 6 yards (tackle by Angelo Crowell),2.940,2.560
4,1:12,4,5,BUF 14,38,21,Ahmad Bradshaw right guard for 1 yard (tackle by Angelo Crowell and Bryan Scott),2.560,0.320
4,1:05,1,10,BUF 13,38,21,Marshawn Lynch left tackle for 7 yards (tackle by Chase Blackburn),-0.320,0.220
4,0:26,2,3,BUF 20,38,21,Dwayne Wright right tackle for 3 yards (tackle by Dave Tollefson),0.220,0.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
