Quarter,Time,Tm,Detail,NYG,BUF
1.0,10:24,Bills,Michael Gaines 3 yard pass from Trent Edwards (Rian Lindell kick),0,7
,5:31,Bills,Lee Evans 4 yard pass from Trent Edwards (Rian Lindell kick),0,14
2.0,11:38,Giants,Brandon Jacobs 6 yard rush (Lawrence Tynes kick),7,14
,8:32,Giants,Brandon Jacobs 43 yard rush (Lawrence Tynes kick),14,14
,2:35,Giants,Lawrence Tynes 42 yard field goal,17,14
3.0,13:54,Bills,Marshawn Lynch 3 yard rush (Rian Lindell kick),17,21
4.0,14:05,Giants,Kawika Mitchell 20 yard interception return (Lawrence Tynes kick),24,21
,6:12,Giants,Ahmad Bradshaw 88 yard rush (Lawrence Tynes kick),31,21
,5:50,Giants,Corey Webster 34 yard interception return (Lawrence Tynes kick),38,21
