Quarter,Time,Tm,Detail,SEA,STL
1.0,8:46,Rams,"Safety,",0,2
,8:30,Rams,Steven Jackson 53 yard rush (Jeff Wilkins kick),0,9
,8:14,Seahawks,Josh Wilson 89 yard kickoff return (Josh Brown kick),7,9
,0:28,Rams,Isaac Bruce 15 yard pass from Gus Frerotte (Jeff Wilkins kick),7,16
2.0,8:07,Rams,Jeff Wilkins 23 yard field goal,7,19
3.0,9:36,Seahawks,Josh Brown 33 yard field goal,10,19
,3:22,Seahawks,Deion Branch 9 yard pass from Matt Hasselbeck (Josh Brown kick),17,19
4.0,5:57,Seahawks,Leonard Weaver 5 yard rush (Josh Brown kick),24,19
