Unnamed: 0,SEA,STL
First Downs,18,17
Rush-Yds-TDs,19-87-1,31-104-1
Cmp-Att-Yd-TD-INT,21-38-249-1-1,23-37-193-1-2
Sacked-Yards,5-34,4-32
Net Pass Yards,215,161
Total Yards,302,265
Fumbles-Lost,2-1,4-0
Turnovers,2,2
Penalties-Yards,6-45,4-20
Third Down Conv.,3-12,5-17
Fourth Down Conv.,0-0,0-1
Time of Possession,24:43,35:17
