Unnamed: 0,SDG,PIT
First Downs,16,24
Rush-Yds-TDs,22-66-1,28-124-0
Cmp-Att-Yd-TD-INT,15-26-164-0-2,31-41-308-0-0
Sacked-Yards,2-12,4-22
Net Pass Yards,152,286
Total Yards,218,410
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,2-5,13-115
Third Down Conv.,5-10,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,23:29,36:31
