Quarter,Time,Tm,Detail,SDG,PIT
1.0,6:46,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),7,0
2.0,14:46,Steelers,"Safety, Marcus McNeill tackled in the end zone by James Harrison.",7,2
,0:00,Steelers,Jeff Reed 21 yard field goal,7,5
3.0,8:41,Steelers,Jeff Reed 41 yard field goal,7,8
4.0,6:41,Chargers,Nate Kaeding 22 yard field goal,10,8
,0:11,Steelers,Jeff Reed 32 yard field goal,10,11
