Unnamed: 0,DEN,JAX
First Downs,21,18
Rush-Yds-TDs,25-89-1,34-134-0
Cmp-Att-Yd-TD-INT,21-33-295-1-1,16-21-170-3-0
Sacked-Yards,3-21,1-5
Net Pass Yards,274,165
Total Yards,363,299
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,7-70,5-47
Third Down Conv.,3-10,3-10
Fourth Down Conv.,1-2,1-2
Time of Possession,30:30,29:30
