Unnamed: 0,MIA,SDG
First Downs,13,26
Rush-Yds-TDs,19-44-2,36-140-1
Cmp-Att-Yd-TD-INT,20-34-216-0-0,26-36-311-3-2
Sacked-Yards,3-29,1-9
Net Pass Yards,187,302
Total Yards,231,442
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,9-72,7-48
Third Down Conv.,2-14,9-14
Fourth Down Conv.,3-3,0-0
Time of Possession,21:07,38:53
